ccm4_0_12_ctrl_domain,ccm4_0_12_ctrl_title,ccm4_0_12_ctrl_id,ccm4_0_12_ctrl_specification,ccm4_0_12_ctrl_question_id,ccm4_0_12_ctrl_consensus_assessments_question,ccm4_0_12_ctrl_caiq_lite
Data Security and Privacy Lifecycle Management,Personal Data Sub-processing,DSP-13,"Define, implement and evaluate processes, procedures and technical
measures for the transfer and sub-processing of personal data within the service
supply chain, according to any applicable laws and regulations.
",DSP-13.1,"Are processes, procedures, and technical measures defined, implemented, and
evaluated for the transfer and sub-processing of personal data within the service
supply chain (according to any applicable laws and regulations)?
",Yes
Data Security and Privacy Lifecycle Management,Disclosure of Data Sub-processors,DSP-14,"Define, implement and evaluate processes, procedures and technical
measures to disclose the details of any personal or sensitive data access by
sub-processors to the data owner prior to initiation of that processing.
",DSP-14.1,"Are processes, procedures, and technical measures defined, implemented, and
evaluated to disclose details to the data owner of any personal or sensitive data
access by sub-processors before processing initiation?
",Yes
Data Security and Privacy Lifecycle Management,Limitation of Production Data Use,DSP-15,"Obtain authorization from data owners, and manage associated risk
before replicating or using production data in non-production environments.
",DSP-15.1,"Is authorization from data owners obtained, and the associated risk managed,
before replicating or using production data in non-production environments?
",No
Data Security and Privacy Lifecycle Management,Data Retention and Deletion,DSP-16,"Data retention, archiving and deletion is managed in accordance with
business requirements, applicable laws and regulations.
",DSP-16.1,"Do data retention, archiving, and deletion practices follow business requirements,
applicable laws, and regulations?
",Yes
Data Security and Privacy Lifecycle Management,Sensitive Data Protection,DSP-17,"Define and implement, processes, procedures and technical measures
to protect sensitive data throughout it's lifecycle.
",DSP-17.1,"Are processes, procedures, and technical measures defined and implemented
to protect sensitive data throughout its lifecycle?
",Yes
Data Security and Privacy Lifecycle Management,Disclosure Notification,DSP-18,"The CSP must have in place, and describe to CSCs the procedure to
manage and respond to requests for disclosure of Personal Data by Law Enforcement
Authorities according to applicable laws and regulations. The CSP must give
special attention to the notification procedure to interested CSCs, unless otherwise
prohibited, such as a prohibition under criminal law to preserve confidentiality
of a law enforcement investigation.
",DSP-18.1,"Does the CSP have in place, and describe to CSCs, the procedure to manage
and respond to requests for disclosure of Personal Data by Law Enforcement Authorities
according to applicable laws and regulations?
",No
Data Security and Privacy Lifecycle Management,,,,DSP-18.2,"Does the CSP give special attention to the notification procedure to interested
CSCs, unless otherwise prohibited, such as a prohibition under criminal law to
preserve confidentiality of a law enforcement investigation?
",No
Data Security and Privacy Lifecycle Management,Data Location,DSP-19,"Define and implement, processes, procedures and technical measures
to specify and document the physical locations of data, including any locations
in which data is processed or backed up.
",DSP-19.1,"Are processes, procedures, and technical measures defined and implemented
to specify and document physical data locations, including locales where data
is processed or backed up?
",Yes
"Governance, Risk and Compliance",Governance Program Policy and Procedures,GRC-01,"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for an information governance program, which is sponsored
by the leadership of the organization. Review and update the policies and procedures
at least annually.
",GRC-01.1,"Are information governance program policies and procedures sponsored by organizational
leadership established, documented, approved, communicated, applied, evaluated,
and maintained?
",Yes
"Governance, Risk and Compliance",,,,GRC-01.2,"Are the policies and procedures reviewed and updated at least annually?
",Yes
"Governance, Risk and Compliance",Risk Management Program,GRC-02,"Establish a formal, documented, and leadership-sponsored Enterprise
Risk Management (ERM) program that includes policies and procedures for identification,
evaluation, ownership, treatment, and acceptance of cloud security and privacy
risks.
",GRC-02.1,"Is there an established formal, documented, and leadership-sponsored enterprise
risk management (ERM) program that includes policies and procedures for identification,
evaluation, ownership, treatment, and acceptance of cloud security and privacy
risks?
",Yes
"Governance, Risk and Compliance",Organizational Policy Reviews,GRC-03,"Review all relevant organizational policies and associated procedures
at least annually or when a substantial change occurs within the organization.
",GRC-03.1,"Are all relevant organizational policies and associated procedures reviewed
at least annually, or when a substantial organizational change occurs?
",No
"Governance, Risk and Compliance",Policy Exception Process,GRC-04,"Establish and follow an approved exception process as mandated by
the governance program whenever a deviation from an established policy occurs.
",GRC-04.1,"Is an approved exception process mandated by the governance program established
and followed whenever a deviation from an established policy occurs?
",No
"Governance, Risk and Compliance",Information Security Program,GRC-05,"Develop and implement an Information Security Program, which includes
programs for all the relevant domains of the CCM.
",GRC-05.1,"Has an information security program (including programs of all relevant CCM
domains) been developed and implemented?
",No
"Governance, Risk and Compliance",Governance Responsibility Model,GRC-06,"Define and document roles and responsibilities for planning, implementing,
operating, assessing, and improving governance programs.
",GRC-06.1,"Are roles and responsibilities for planning, implementing, operating, assessing,
and improving governance programs defined and documented?
",Yes
"Governance, Risk and Compliance",Information System Regulatory Mapping,GRC-07,"Identify and document all relevant standards, regulations, legal/contractual,
and statutory requirements, which are applicable to your organization.
",GRC-07.1,"Are all relevant standards, regulations, legal/contractual, and statutory
requirements applicable to your organization identified and documented?
",Yes
"Governance, Risk and Compliance",Special Interest Groups,GRC-08,"Establish and maintain contact with cloud-related special interest
groups and other relevant entities in line with business context.
",GRC-08.1,"Is contact established and maintained with cloud-related special interest
groups and other relevant entities?
",No
Human Resources,Background Screening Policy and Procedures,HRS-01,"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for background verification of all new employees (including
but not limited to remote employees, contractors, and third parties) according
to local laws, regulations, ethics, and contractual constraints and proportional
to the data classification to be accessed, the business requirements, and acceptable
risk. Review and update the policies and procedures at least annually.
",HRS-01.1,"Are background verification policies and procedures of all new employees (including
but not limited to remote employees, contractors, and third parties) established,
documented, approved, communicated, applied, evaluated, and maintained?
",No
Human Resources,,,,HRS-01.2,"Are background verification policies and procedures designed according to
local laws, regulations, ethics, and contractual constraints and proportional
to the data classification to be accessed, business requirements, and acceptable
risk?
",No
Human Resources,,,,HRS-01.3,"Are background verification policies and procedures reviewed and updated at
least annually?
",No
Human Resources,Acceptable Use of Technology Policy and Procedures,HRS-02,"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for defining allowances and conditions for the acceptable
use of organizationally-owned or managed assets. Review and update the policies
and procedures at least annually.
",HRS-02.1,"Are policies and procedures for defining allowances and conditions for the
acceptable use of organizationally-owned or managed assets established, documented,
approved, communicated, applied, evaluated, and maintained?
",No
Human Resources,,,,HRS-02.2,"Are the policies and procedures for defining allowances and conditions for
the acceptable use of organizationally-owned or managed assets reviewed and updated
at least annually?
",No
Human Resources,Clean Desk Policy and Procedures,HRS-03,"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures that require unattended workspaces to not have openly
visible confidential data. Review and update the policies and procedures at
least annually.
",HRS-03.1,"Are policies and procedures requiring unattended workspaces to conceal confidential
data established, documented, approved, communicated, applied, evaluated, and
maintained?
",Yes
Human Resources,,,,HRS-03.2,"Are policies and procedures requiring unattended workspaces to conceal confidential
data reviewed and updated at least annually?
",Yes
Human Resources,Remote and Home Working Policy and Procedures,HRS-04,"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures to protect information accessed, processed or stored
at remote sites and locations. Review and update the policies and procedures
at least annually.
",HRS-04.1,"Are policies and procedures to protect information accessed, processed, or
stored at remote sites and locations established, documented, approved, communicated,
applied, evaluated, and maintained?
",Yes
Human Resources,,,,HRS-04.2,"Are policies and procedures to protect information accessed, processed, or
stored at remote sites and locations reviewed and updated at least annually?
",Yes
Human Resources,Asset returns,HRS-05,"Establish and document procedures for the return of organization-owned
assets by terminated employees.
",HRS-05.1,"Are return procedures of organizationally-owned assets by terminated employees
established and documented?
",No
Human Resources,Employment Termination,HRS-06,"Establish, document, and communicate to all personnel the procedures
outlining the roles and responsibilities concerning changes in employment.
",HRS-06.1,"Are procedures outlining the roles and responsibilities concerning changes
in employment established, documented, and communicated to all personnel?
",No
Human Resources,Employment Agreement Process,HRS-07,"Employees sign the employee agreement prior to being granted access
to organizational information systems, resources and assets.
",HRS-07.1,"Are employees required to sign an employment agreement before gaining access
to organizational information systems, resources, and assets?
",No
Human Resources,Employment Agreement Content,HRS-08,"The organization includes within the employment agreements provisions
and/or terms for adherence to established information governance and security
policies.
",HRS-08.1,"Are provisions and/or terms for adherence to established information governance
and security policies included within employment agreements?
",No
Human Resources,Personnel Roles and Responsibilities,HRS-09,"Document and communicate roles and responsibilities of employees,
as they relate to information assets and security.
",HRS-09.1,"Are employee roles and responsibilities relating to information assets and
security documented and communicated?
",No
Human Resources,Non-Disclosure Agreements,HRS-10,"Identify, document, and review, at planned intervals, requirements
for non-disclosure/confidentiality agreements reflecting the organization's
needs for the protection of data and operational details.
",HRS-10.1,"Are requirements for non-disclosure/confidentiality agreements reflecting
organizational data protection needs and operational details identified, documented,
and reviewed at planned intervals?
",No
Human Resources,Security Awareness Training,HRS-11,"Establish, document, approve, communicate, apply, evaluate and maintain
a security awareness training program for all employees of the organization
and provide regular training updates.
",HRS-11.1,"Is a security awareness training program for all employees of the organization
established, documented, approved, communicated, applied, evaluated and maintained?
",Yes
Human Resources,,,,HRS-11.2,"Are regular security awareness training updates provided?
",Yes
Human Resources,Personal and Sensitive Data Awareness and Training,HRS-12,"Provide all employees with access to sensitive organizational and
personal data with appropriate security awareness training and regular updates
in organizational procedures, processes, and policies relating to their professional
function relative to the organization.
",HRS-12.1,"Are all employees granted access to sensitive organizational and personal
data provided with appropriate security awareness training?
",No
Human Resources,,,,HRS-12.2,"Are all employees granted access to sensitive organizational and personal
data provided with regular updates in procedures, processes, and policies relating
to their professional function?
",No
Human Resources,Compliance User Responsibility,HRS-13,"Make employees aware of their roles and responsibilities for maintaining
awareness and compliance with established policies and procedures and applicable
legal, statutory, or regulatory compliance obligations.
",HRS-13.1,"Are employees notified of their roles and responsibilities to maintain awareness
and compliance with established policies, procedures, and applicable legal, statutory,
or regulatory compliance obligations?
",No
Identity & Access Management,Identity and Access Management Policy and Procedures,IAM-01,"Establish, document, approve, communicate, implement, apply, evaluate
and maintain policies and procedures for identity and access management. Review
and update the policies and procedures at least annually.
",IAM-01.1,"Are identity and access management policies and procedures established, documented,
approved, communicated, implemented, applied, evaluated, and maintained?
",Yes
Identity & Access Management,,,,IAM-01.2,"Are identity and access management policies and procedures reviewed and updated
at least annually?
",Yes
Identity & Access Management,Strong Password Policy and Procedures,IAM-02,"Establish, document, approve, communicate, implement, apply, evaluate
and maintain strong password policies and procedures. Review and update the
policies and procedures at least annually.
",IAM-02.1,"Are strong password policies and procedures established, documented, approved,
communicated, implemented, applied, evaluated, and maintained?
",No
Identity & Access Management,,,,IAM-02.2,"Are strong password policies and procedures reviewed and updated at least
annually?
",No
Identity & Access Management,Identity Inventory,IAM-03,"Manage, store, and review the information of system identities, and
level of access.
",IAM-03.1,"Is system identity information and levels of access managed, stored, and reviewed?
",Yes
Identity & Access Management,Separation of Duties,IAM-04,"Employ the separation of duties principle when implementing information
system access.
",IAM-04.1,"Is the separation of duties principle employed when implementing information
system access?
",Yes
Identity & Access Management,Least Privilege,IAM-05,"Employ the least privilege principle when implementing information
system access.
",IAM-05.1,"Is the least privilege principle employed when implementing information system
access?
",Yes
Identity & Access Management,User Access Provisioning,IAM-06,"Define and implement a user access provisioning process which authorizes,
records, and communicates access changes to data and assets.
",IAM-06.1,"Is a user access provisioning process defined and implemented which authorizes,
records, and communicates data and assets access changes?
",Yes
Identity & Access Management,User Access Changes and Revocation,IAM-07,"De-provision or respectively modify access of movers / leavers or
system identity changes in a timely manner in order to effectively adopt and
communicate identity and access management policies.
",IAM-07.1,"Is a process in place to de-provision or modify the access, in a timely manner,
of movers / leavers or system identity changes, to effectively adopt and communicate
identity and access management policies?
",Yes
Identity & Access Management,User Access Review,IAM-08,"Review and revalidate user access for least privilege and separation
of duties with a frequency that is commensurate with organizational risk tolerance.
",IAM-08.1,"Are reviews and revalidation of user access for least privilege and separation
of duties completed with a frequency commensurate with organizational risk tolerance?
",Yes
Identity & Access Management,Segregation of Privileged Access Roles,IAM-09,"Define, implement and evaluate processes, procedures and technical
measures for the segregation of privileged access roles such that administrative
access to data, encryption and key management capabilities and logging capabilities
are distinct and separated.
",IAM-09.1,"Are processes, procedures, and technical measures for the segregation of privileged
access roles defined, implemented, and evaluated such that administrative data
access, encryption, key management capabilities, and logging capabilities are
distinct and separate?
",Yes
Identity & Access Management,Management of Privileged Access Roles,IAM-10,"Define and implement an access process to ensure privileged access
roles and rights are granted for a time limited period, and implement procedures
to prevent the culmination of segregated privileged access.
",IAM-10.1,"Is an access process defined and implemented to ensure privileged access roles
and rights are granted for a limited period?
",Yes
Identity & Access Management,,,,IAM-10.2,"Are procedures implemented to prevent the culmination of segregated privileged
access?
",Yes
Identity & Access Management,CSCs Approval for Agreed Privileged Access Roles,IAM-11,"Define, implement and evaluate processes and procedures for customers
to participate, where applicable, in the granting of access for agreed, high
risk (as defined by the organizational risk assessment) privileged access roles.
",IAM-11.1,"Are processes and procedures for customers to participate, where applicable,
in granting access for agreed, high risk as (defined by the organizational risk
assessment) privileged access roles defined, implemented and evaluated?
",No
Identity & Access Management,Safeguard Logs Integrity,IAM-12,"Define, implement and evaluate processes, procedures and technical
measures to ensure the logging infrastructure is read-only for all with write
access, including privileged access roles, and that the ability to disable it
is controlled through a procedure that ensures the segregation of duties and
break glass procedures.
",IAM-12.1,"Are processes, procedures, and technical measures to ensure the logging infrastructure
is ""read-only"" for all with write access (including privileged access roles) defined,
implemented, and evaluated?
",No
Identity & Access Management,,,,IAM-12.2,"Is the ability to disable the ""read-only"" configuration of logging infrastructure
controlled through a procedure that ensures the segregation of duties and break
glass procedures?
",No
Identity & Access Management,Uniquely Identifiable Users,IAM-13,"Define, implement and evaluate processes, procedures and technical
measures that ensure users are identifiable through unique IDs or which can
associate individuals to the usage of user IDs.
",IAM-13.1,"Are processes, procedures, and technical measures that ensure users are identifiable
through unique identification (or can associate individuals with user identification
usage) defined, implemented, and evaluated?
",No
Identity & Access Management,Strong Authentication,IAM-14,"Define, implement and evaluate processes, procedures and technical
measures for authenticating access to systems, application and data assets,
including multifactor authentication for at least privileged user and sensitive
data access. Adopt digital certificates or alternatives which achieve an equivalent
level of security for system identities.
",IAM-14.1,"Are processes, procedures, and technical measures for authenticating access
to systems, application, and data assets including multifactor authentication
for a least-privileged user and sensitive data access defined, implemented, and
evaluated?
",Yes
Identity & Access Management,,,,IAM-14.2,"Are digital certificates or alternatives that achieve an equivalent security
level for system identities adopted?
",Yes
Identity & Access Management,Passwords Management,IAM-15,"Define, implement and evaluate processes, procedures and technical
measures for the secure management of passwords.
",IAM-15.1,"Are processes, procedures, and technical measures for the secure management
of passwords defined, implemented, and evaluated?
",No
Identity & Access Management,Authorization Mechanisms,IAM-16,"Define, implement and evaluate processes, procedures and technical
measures to verify access to data and system functions is authorized.
",IAM-16.1,"Are processes, procedures, and technical measures to verify access to data
and system functions authorized, defined, implemented, and evaluated?
",No
Interoperability & Portability,Interoperability and Portability Policy and Procedures,IPY-01,"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for interoperability and portability including
requirements for:
a. Communications between application interfaces
b. Information processing interoperability
c. Application development portability
d. Information/Data exchange, usage, portability, integrity, and persistence
Review and update the policies and procedures at least annually.
",IPY-01.1,"Are policies and procedures established, documented, approved, communicated,
applied, evaluated, and maintained for communications between application services
(e.g., APIs)?
",Yes
Interoperability & Portability,,,,IPY-01.2,"Are policies and procedures established, documented, approved, communicated,
applied, evaluated, and maintained for information processing interoperability?
",Yes
Interoperability & Portability,,,,IPY-01.3,"Are policies and procedures established, documented, approved, communicated,
applied, evaluated, and maintained for application development portability?
",Yes
Interoperability & Portability,,,,IPY-01.4,"Are policies and procedures established, documented, approved, communicated,
applied, evaluated, and maintained for information/data exchange, usage, portability,
integrity, and persistence?
",Yes
Interoperability & Portability,,,,IPY-01.5,"Are interoperability and portability policies and procedures reviewed and
updated at least annually?
",Yes
Interoperability & Portability,Application Interface Availability,IPY-02,"Provide application interface(s) to CSCs so that they programmatically
retrieve their data to enable interoperability and portability.
",IPY-02.1,"Are CSCs able to programmatically retrieve their data via an application interface(s)
to enable interoperability and portability?
",No
Interoperability & Portability,Secure Interoperability and Portability Management,IPY-03,"Implement cryptographically secure and standardized network protocols
for the management, import and export of data.
",IPY-03.1,"Are cryptographically secure and standardized network protocols implemented
for the management, import, and export of data?
",No
Interoperability & Portability,Data Portability Contractual Obligations,IPY-04,"Agreements must include provisions specifying CSCs access to data
upon contract termination and will include:
a. Data format
b. Length of time the data will be stored
c. Scope of the data retained and made available to the CSCs
d. Data deletion policy
",IPY-04.1,"Do agreements include provisions specifying CSC data access upon contract termination, and have the following?
a. Data format
b. Duration data will be stored
c. Scope of the data retained and made available to the CSCs
d. Data deletion policy
",No
Infrastructure & Virtualization Security,Infrastructure and Virtualization Security Policy and Procedures,IVS-01,"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for infrastructure and virtualization security. Review
and update the policies and procedures at least annually.
",IVS-01.1,"Are infrastructure and virtualization security policies and procedures established,
documented, approved, communicated, applied, evaluated, and maintained?
",No
Infrastructure & Virtualization Security,,,,IVS-01.2,"Are infrastructure and virtualization security policies and procedures reviewed
and updated at least annually?
",No
Infrastructure & Virtualization Security,Capacity and Resource Planning,IVS-02,"Plan and monitor the availability, quality, and adequate capacity
of resources in order to deliver the required system performance as determined
by the business.
",IVS-02.1,"Is resource availability, quality, and capacity planned and monitored in a
way that delivers required system performance, as determined by the business?
",No
Infrastructure & Virtualization Security,Network Security,IVS-03,"Monitor, encrypt and restrict communications between environments
to only authenticated and authorized connections, as justified by the business.
Review these configurations at least annually, and support them by a documented
justification of all allowed services, protocols, ports, and compensating controls.
",IVS-03.1,"Are communications between environments monitored?
",Yes
Infrastructure & Virtualization Security,,,,IVS-03.2,"Are communications between environments encrypted?
",Yes
Infrastructure & Virtualization Security,,,,IVS-03.3,"Are communications between environments restricted to only authenticated and
authorized connections, as justified by the business?
",Yes
Infrastructure & Virtualization Security,,,,IVS-03.4,"Are network configurations reviewed at least annually?
",Yes
Infrastructure & Virtualization Security,,,,IVS-03.5,"Are network configurations supported by the documented justification of all
allowed services, protocols, ports, and compensating controls?
",Yes
Infrastructure & Virtualization Security,OS Hardening and Base Controls,IVS-04,"Harden host and guest OS, hypervisor or infrastructure control plane
according to their respective best practices, and supported by technical controls,
as part of a security baseline.
",IVS-04.1,"Is every host and guest OS, hypervisor, or infrastructure control plane hardened
(according to their respective best practices) and supported by technical controls
as part of a security baseline?
",Yes
Infrastructure & Virtualization Security,Production and Non-Production Environments,IVS-05,"Separate production and non-production environments.
",IVS-05.1,"Are production and non-production environments separated?
",No
Infrastructure & Virtualization Security,Segmentation and Segregation,IVS-06,"Design, develop, deploy and configure applications and infrastructures
such that CSP and CSC (tenant) user access and intra-tenant access is appropriately
segmented and segregated, monitored and restricted from other tenants.
",IVS-06.1,"Are applications and infrastructures designed, developed, deployed, and configured
such that CSP and CSC (tenant) user access and intra-tenant access is appropriately
segmented, segregated, monitored, and restricted from other tenants?
",Yes
Infrastructure & Virtualization Security,Migration to Cloud Environments,IVS-07,"Use secure and encrypted communication channels when migrating servers,
services, applications, or data to cloud environments. Such channels must include
only up-to-date and approved protocols.
",IVS-07.1,"Are secure and encrypted communication channels including only up-to-date
and approved protocols used when migrating servers, services, applications, or
data to cloud environments?
",Yes
Infrastructure & Virtualization Security,Network Architecture Documentation,IVS-08,"Identify and document high-risk environments.
",IVS-08.1,"Are high-risk environments identified and documented?
",No
Infrastructure & Virtualization Security,Network Defense,IVS-09,"Define, implement and evaluate processes, procedures and defense-in-depth
techniques for protection, detection, and timely response to network-based attacks.
",IVS-09.1,"Are processes, procedures, and defense-in-depth techniques defined, implemented,
and evaluated for protection, detection, and timely response to network-based
attacks?
",Yes
Logging and Monitoring,Logging and Monitoring Policy and Procedures,LOG-01,"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for logging and monitoring. Review and update the policies
and procedures at least annually.
",LOG-01.1,"Are logging and monitoring policies and procedures established, documented,
approved, communicated, applied, evaluated, and maintained?
",Yes
Logging and Monitoring,,,,LOG-01.2,"Are policies and procedures reviewed and updated at least annually?
",Yes
Logging and Monitoring,Audit Logs Protection,LOG-02,"Define, implement and evaluate processes, procedures and technical
measures to ensure the security and retention of audit logs.
",LOG-02.1,"Are processes, procedures, and technical measures defined, implemented, and
evaluated to ensure audit log security and retention?
",No
Logging and Monitoring,Security Monitoring and Alerting,LOG-03,"Identify and monitor security-related events within applications
and the underlying infrastructure. Define and implement a system to generate
alerts to responsible stakeholders based on such events and corresponding metrics.
",LOG-03.1,"Are security-related events identified and monitored within applications and
the underlying infrastructure?
",No
Logging and Monitoring,,,,LOG-03.2,"Is a system defined and implemented to generate alerts to responsible stakeholders
based on security events and their corresponding metrics?
",No
Logging and Monitoring,Audit Logs Access and Accountability,LOG-04,"Restrict audit logs access to authorized personnel and maintain records
that provide unique access accountability.
",LOG-04.1,"Is access to audit logs restricted to authorized personnel, and are records
maintained to provide unique access accountability?
",Yes
Logging and Monitoring,Audit Logs Monitoring and Response,LOG-05,"Monitor security audit logs to detect activity outside of typical
or expected patterns. Establish and follow a defined process to review and take
appropriate and timely actions on detected anomalies.
",LOG-05.1,"Are security audit logs monitored to detect activity outside of typical or
expected patterns?
",Yes
Logging and Monitoring,,,,LOG-05.2,"Is a process established and followed to review and take appropriate and timely
actions on detected anomalies?
",Yes
Logging and Monitoring,Clock Synchronization,LOG-06,"Use a reliable time source across all relevant information processing
systems.
",LOG-06.1,"Is a reliable time source being used across all relevant information processing
systems?
",No
Logging and Monitoring,Logging Scope,LOG-07,"Establish, document and implement which information meta/data system
events should be logged. Review and update the scope at least annually or whenever
there is a change in the threat environment.
",LOG-07.1,"Are logging requirements for information meta/data system events established,
documented, and implemented?
",No
Logging and Monitoring,,,,LOG-07.2,"Is the scope reviewed and updated at least annually, or whenever there is
a change in the threat environment?
",No
Logging and Monitoring,Log Records,LOG-08,"Generate audit records containing relevant security information.
",LOG-08.1,"Are audit records generated, and do they contain relevant security information?
",No
Logging and Monitoring,Log Protection,LOG-09,"The information system protects audit records from unauthorized access,
modification, and deletion.
",LOG-09.1,"Does the information system protect audit records from unauthorized access,
modification, and deletion?
",No
Logging and Monitoring,Encryption Monitoring and Reporting,LOG-10,"Establish and maintain a monitoring and internal reporting capability
over the operations of cryptographic, encryption and key management policies,
processes, procedures, and controls.
",LOG-10.1,"Are monitoring and internal reporting capabilities established to report on
cryptographic operations, encryption, and key management policies, processes,
procedures, and controls?
",No
Logging and Monitoring,Transaction/Activity Logging,LOG-11,"Log and monitor key lifecycle management events to enable auditing
and reporting on usage of cryptographic keys.
",LOG-11.1,"Are key lifecycle management events logged and monitored to enable auditing
and reporting on cryptographic keys' usage?
",No
Logging and Monitoring,Access Control Logs,LOG-12,"Monitor and log physical access using an auditable access control
system.
",LOG-12.1,"Is physical access logged and monitored using an auditable access control
system?
",No
Logging and Monitoring,Failures and Anomalies Reporting,LOG-13,"Define, implement and evaluate processes, procedures and technical
measures for the reporting of anomalies and failures of the monitoring system
and provide immediate notification to the accountable party.
",LOG-13.1,"Are processes and technical measures for reporting monitoring system anomalies
and failures defined, implemented, and evaluated?
",No
Logging and Monitoring,,,,LOG-13.2,"Are accountable parties immediately notified about anomalies and failures?
",No
"Security Incident Management, E-Discovery, & Cloud Forensics",Security Incident Management Policy and Procedures,SEF-01,"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for Security Incident Management, E-Discovery, and Cloud
Forensics. Review and update the policies and procedures at least annually.
",SEF-01.1,"Are policies and procedures for security incident management, e-discovery,
and cloud forensics established, documented, approved, communicated, applied,
evaluated, and maintained?
",No
"Security Incident Management, E-Discovery, & Cloud Forensics",,,,SEF-01.2,"Are policies and procedures reviewed and updated annually?
",No
"Security Incident Management, E-Discovery, & Cloud Forensics",Service Management Policy and Procedures,SEF-02,"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for the timely management of security incidents. Review
and update the policies and procedures at least annually.
",SEF-02.1,"Are policies and procedures for timely management of security incidents established,
documented, approved, communicated, applied, evaluated, and maintained?
",No
"Security Incident Management, E-Discovery, & Cloud Forensics",,,,SEF-02.2,"Are policies and procedures for timely management of security incidents reviewed
and updated at least annually?
",No
"Security Incident Management, E-Discovery, & Cloud Forensics",Incident Response Plans,SEF-03,"'Establish, document, approve, communicate, apply, evaluate and maintain
a security incident response plan, which includes but is not limited to: relevant
internal departments, impacted CSCs, and other business critical relationships
(such as supply-chain) that may be impacted.'
",SEF-03.1,"Is a security incident response plan that includes relevant internal departments,
impacted CSCs, and other business-critical relationships (such as supply-chain)
established, documented, approved, communicated, applied, evaluated, and maintained?
",Yes
"Security Incident Management, E-Discovery, & Cloud Forensics",Incident Response Testing,SEF-04,"Test and update as necessary incident response plans at planned intervals
or upon significant organizational or environmental changes for effectiveness.
",SEF-04.1,"Is the security incident response plan tested and updated for effectiveness,
as necessary, at planned intervals or upon significant organizational or environmental
changes?
",Yes
"Security Incident Management, E-Discovery, & Cloud Forensics",Incident Response Metrics,SEF-05,"Establish and monitor information security incident metrics.
",SEF-05.1,"Are information security incident metrics established and monitored?
",No
"Security Incident Management, E-Discovery, & Cloud Forensics",Event Triage Processes,SEF-06,"Define, implement and evaluate processes, procedures and technical
measures supporting business processes to triage security-related events.
",SEF-06.1,"Are processes, procedures, and technical measures supporting business processes
to triage security-related events defined, implemented, and evaluated?
",No
"Security Incident Management, E-Discovery, & Cloud Forensics",Security Breach Notification,SEF-07,"Define and implement, processes, procedures and technical measures
for security breach notifications. Report security breaches and assumed security
breaches including any relevant supply chain breaches, as per applicable SLAs,
laws and regulations.
",SEF-07.1,"Are processes, procedures, and technical measures for security breach notifications
defined and implemented?
",Yes
"Security Incident Management, E-Discovery, & Cloud Forensics",,,,SEF-07.2,"Are security breaches and assumed security breaches reported (including any
relevant supply chain breaches) as per applicable SLAs, laws, and regulations?
",Yes
"Security Incident Management, E-Discovery, & Cloud Forensics",Points of Contact Maintenance,SEF-08,"Maintain points of contact for applicable regulation authorities,
national and local law enforcement, and other legal jurisdictional authorities.
",SEF-08.1,"Are points of contact maintained for applicable regulation authorities, national
and local law enforcement, and other legal jurisdictional authorities?
",No
"Supply Chain Management, Transparency, and Accountability",SSRM Policy and Procedures,STA-01,"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for the application of the Shared Security Responsibility
Model (SSRM) within the organization. Review and update the policies and procedures
at least annually.
",STA-01.1,"Are policies and procedures implementing the shared security responsibility
model (SSRM) within the organization established, documented, approved, communicated,
applied, evaluated, and maintained?
",No
"Supply Chain Management, Transparency, and Accountability",,,,STA-01.2,"Are the policies and procedures that apply the SSRM reviewed and updated annually?
",No
"Supply Chain Management, Transparency, and Accountability",SSRM Supply Chain,STA-02,"Apply, document, implement and manage the SSRM throughout the supply
chain for the cloud service offering.
",STA-02.1,"Is the SSRM applied, documented, implemented, and managed throughout the supply
chain for the cloud service offering?
",Yes
"Supply Chain Management, Transparency, and Accountability",SSRM Guidance,STA-03,"Provide SSRM Guidance to the CSC detailing information about the
SSRM applicability throughout the supply chain.
",STA-03.1,"Is the CSC given SSRM guidance detailing information about SSRM applicability
throughout the supply chain?
",No
"Supply Chain Management, Transparency, and Accountability",SSRM Control Ownership,STA-04,"Delineate the shared ownership and applicability of all CSA CCM controls
according to the SSRM for the cloud service offering.
",STA-04.1,"Is the shared ownership and applicability of all CSA CCM controls delineated
according to the SSRM for the cloud service offering?
",Yes
"Supply Chain Management, Transparency, and Accountability",SSRM Documentation Review,STA-05,"Review and validate SSRM documentation for all cloud services offerings
the organization uses.
",STA-05.1,"Is SSRM documentation for all cloud services the organization uses reviewed
and validated?
",No
"Supply Chain Management, Transparency, and Accountability",SSRM Control Implementation,STA-06,"Implement, operate, and audit or assess the portions of the SSRM
which the organization is responsible for.
",STA-06.1,"Are the portions of the SSRM the organization is responsible for implemented,
operated, audited, or assessed?
",No
