ccm4_0_12_ctrl_domain,ccm4_0_12_ctrl_title,ccm4_0_12_ctrl_id,ccm4_0_12_ctrl_specification,ccm4_0_12_ctrl_maps2_aicpa_2017_ctrls,ccm4_0_12_ctrl_maps2_aicpa_2017_gap_level,ccm4_0_12_ctrl_maps2_aicpa_2017_addendum,ccm4_0_12_ctrl_maps2_ccmv3_0_1_ctrls,ccm4_0_12_ctrl_maps2_ccmv3_0_1_gap_level,ccm4_0_12_ctrl_maps2_ccmv3_0_1_addendum,ccm4_0_12_ctrl_maps2_cis_v8_ctrls,ccm4_0_12_ctrl_maps2_cis_v8_gap_level,ccm4_0_12_ctrl_maps2_cis_v8_addendum,ccm4_0_12_ctrl_maps2_isf_sogp_2022_ctrls,ccm4_0_12_ctrl_maps2_isf_sogp_2022_gap_level,ccm4_0_12_ctrl_maps2_isf_sogp_2022_addendum,ccm4_0_12_ctrl_maps2_iso_270xx_pre_2022_ctrls,ccm4_0_12_ctrl_maps2_iso_270xx_pre_2022_gap_level,ccm4_0_12_ctrl_maps2_iso_270xx_pre_2022_addendum,ccm4_0_12_ctrl_maps2_iso_2700x_2022_ctrls,ccm4_0_12_ctrl_maps2_iso_2700x_2022_gap_level,ccm4_0_12_ctrl_maps2_iso_2700x_2022_addendum,ccm4_0_12_ctrl_maps2_nist_800_53r5_ctrls,ccm4_0_12_ctrl_maps2_nist_800_53r5_gap_level,ccm4_0_12_ctrl_maps2_nist_800_53r5_addendum,ccm4_0_12_ctrl_maps2_nist_csf_1_1_ctrls,ccm4_0_12_ctrl_maps2_nist_csf_1_1_gap_level,ccm4_0_12_ctrl_maps2_nist_csf_1_1_addendum,ccm4_0_12_ctrl_maps2_nist_csf_2_0_ctrls,ccm4_0_12_ctrl_maps2_nist_csf_2_0_gap_level,ccm4_0_12_ctrl_maps2_nist_csf_2_0_addendum,ccm4_0_12_ctrl_maps2_pci_dss_v3_2_1_ctrls,ccm4_0_12_ctrl_maps2_pci_dss_v3_2_1_gap_level,ccm4_0_12_ctrl_maps2_pci_dss_v3_2_1_addendum,ccm4_0_12_ctrl_maps2_pci_dss_v4_0_ctrls,ccm4_0_12_ctrl_maps2_pci_dss_v4_0_gap_level,ccm4_0_12_ctrl_maps2_pci_dss_v4_0_addendum
"Governance, Risk and Compliance",Special Interest Groups,GRC-08,"Establish and maintain contact with cloud-related special interest
groups and other relevant entities in line with business context.
",No Mapping,Full Gap,The full V4 control specification is missing from TSC 2017 and has to be used to close the gap.,No Mapping,Full Gap,The full V4 control specification is missing from CCMv3.0.1 and has to be used to close the gap.,No Mapping,Full Gap,The full V4 control specification is missing from CISv8.0 and has to be used to close the gap.,SM2.2,No Gap,N/A,27001: A.6.1.4,No Gap,N/A,27001: A.5.6,No Gap,N/A,PM-15,No Gap,"Missing specification(s) in NIST 800-53:
'cloud-related special interest groups'.",No Mapping,Full Gap,The full CCM control specification is missing from the CSF and has to be used to close the gap.,ID.RA-02,Partial Gap,Recommend that NIST CSF 2.0 use the full CCM control specification to close the gap. The mapped CSF controls cover in part the high specificity of the CCM control objective.,No Mapping,Full Gap,The full V4 control specification is missing from PCI DSS v3.2.1 and has to be used to close the gap.,No Mapping,Full Gap,The full CCM control specification is missing from the PCI DSS and has to be used to close the gap.
Human Resources,Background Screening Policy and Procedures,HRS-01,"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for background verification of all new employees (including
but not limited to remote employees, contractors, and third parties) according
to local laws, regulations, ethics, and contractual constraints and proportional
to the data classification to be accessed, the business requirements, and acceptable
risk. Review and update the policies and procedures at least annually.
","CC1.4
CC9.2
CC5.3",Partial Gap,"Missing specification(s) in TSC 2017:
'Review and update the policies and procedures at least annually'.","HRS-02
GRM-06
GRM-09",Partial Gap,"Missing specification(s) in CCMv3.0.1:
'apply, evaluate, policies and procedures for background verification of all new employees'
Requirement of 'at least annually' in last sentence.",No Mapping,Full Gap,The full V4 control specification is missing from CISv8.0 and has to be used to close the gap.,PM1.1,Partial Gap,"Missing specification(s) in SOGP: 
'review and update the policies and procedures at least annually'.","27001: 5.1
27001: 5.2
27001: 7.3
27001: 7.4
27001: 7.5
27001: 9.1
27001: 9.3
27001: A.5
27002: 5
27001: A.7.1.1
27002: 7.1.1
27017: 7.1.1",Partial Gap,"Missing specification(s) in ISOs:
requirement to review and update the policies and procedures at least annually.","27001: 5.1
27001: 5.2
27001: 7.3
27001: 7.4
27001: 7.5
27001: 9.1
27001: 9.3
27001: A.5.1
27001: A.5.4
27001: A.5.37
27001: A.6.1",Partial Gap,"Missing specification(s) in ISOs:
'at least annually (Review)'.","IA-12
IA-12(2)
IA-12(3)
MA-5
MA-5(2)-(4)
PS-1
PS-2
PS-3
PS-3(1)
PS-3(2)
PS-3(4)",No Gap,N/A,"ID.GV-1
PR.IP-11",Partial Gap,"Missing specification(s) in the CSF: 
'Document, approve, apply, evaluate and maintain policies and procedures'.
'policies and procedures for background verification'.
'according to local laws, regulations, ethics, and contractual constraints and proportional to the data classification to be accessed, the business requirements, and acceptable risk'. 
'review and update the policies and procedures at least annually'.","GV.PO-01
GV.PO-02
GV.RR-04
ID.IM-03",Partial Gap,"Missing specification(s) in the CSF: 
'document, approve, maintain policies and procedures'
'policies and procedures for background verification of all new employees'
'at least annually'.","12.1
12.1.1
12.7
A3.1.2
12.4.1",Partial Gap,"Missing specification(s) in PCI DSS:
'approve policies and procedures for background verification of all new employees'
'according to local laws, regulations, ethics, and contractual constraints'.","12.1.1
12.1.2
12.7.1",Partial Gap,"Missing specification(s) in PCI DSS:
'policies and procedures for background verification of all new employees'."
Human Resources,Acceptable Use of Technology Policy and Procedures,HRS-02,"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for defining allowances and conditions for the acceptable
use of organizationally-owned or managed assets. Review and update the policies
and procedures at least annually.
",CC5.3,Partial Gap,"Missing specification(s) in TSC 2017:
'policies and procedures for defining allowances and conditions for the
acceptable use of organizationally-owned or managed assets.'
'Review and update the policies and procedures at least annually'.","HRS-08
GRM-06
GRM-09",Partial Gap,"Missing specification(s) in CCMv3.0.1:
Requirement of 'at least annually' in last sentence.",No Mapping,Full Gap,The full V4 control specification is missing from CISv8.0 and has to be used to close the gap.,"SM1.1
SM1.2",Partial Gap,"Missing specification(s) in SOGP: 
'review and update the policies and procedures at least annually'.","27001: 5.1
27001: 5.2
27001: 7.3
27001: 7.4
27001: 7.5
27001: 9.1
27001: 9.3
27001: A.5
27002: 5
27001: A.8.1.3
27002: 8.1.3
27017: 8.1.3",Partial Gap,"Missing specification(s) in ISOs:
requirement to review and update the policies and procedures at least annually.","27001: 5.1
27001: 5.2
27001: 7.3
27001: 7.4
27001: 7.5
27001: 9.1
27001: 9.3
27001: A.5.1
27001: A.5.4
27001: A.5.10
27001: A.5.37",Partial Gap,"Missing specification(s) in ISOs:
'at least annually (Review)'.","PL-4
PL-4(1)
PS-1
PS-6
PS-6(2)",No Gap,N/A,"ID.GV-1
PR.PT-2
ID.AM-6
PR.IP-5",Partial Gap,"Missing specification(s) in the CSF: 
'Document, approve, apply, evaluate and maintain policies and procedures'.
'policies and procedures for defining allowances and conditions for the acceptable use of organizationally-owned or managed assets'.
'Review and update the policies and procedures at least annually'.","GV.PO-01
GV.PO-02
GV.RR-02
ID.IM-03",Partial Gap,"Missing specification(s) in the CSF: 
'document, approve, maintain policies and procedures'
'policies and procedures for defining allowances and conditions for the acceptable use of organizationally-owned or managed assets'
'at least annually'.","12.1
12.1.1
12.3
12.3.5",No Gap,N/A,"12.1.1
12.1.2
12.2.1",No Gap,N/A
Human Resources,Clean Desk Policy and Procedures,HRS-03,"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures that require unattended workspaces to not have openly
visible confidential data. Review and update the policies and procedures at
least annually.
","CC2.2
CC5.3",Partial Gap,"Missing specification(s) in TSC 2017:
'policies and procedures that require unattended workspaces to not have
openly visible confidential data'
'Review and update the policies and procedures at least annually'.","HRS-11
GRM-06
GRM-09",Partial Gap,"Missing specification(s) in CCMv3.0.1:
'apply, evaluate, policies and procedures that require unattended workspaces to not have openly visible confidential data'
Requirement of 'at least annually' in last sentence.",14.4,Partial Gap,"Missing specifications in CISv8.0:
'Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures' 'Review and update the policies and procedures
at least annually'.",PM2.2,Partial Gap,"Missing specification(s) in SOGP: 
'review and update the policies and procedures at least annually'.","27001: 5.1
27001: 5.2
27001: 7.3
27001: 7.4
27001: 7.5
27001: 9.1
27001: 9.3
27001: A.5
27002: 5
27001: A.11.2.8
27002: 11.2.8
27017: 11.2.8
27001: A.11.2.9
27002: 11.2.9
27017: 11.2.9",Partial Gap,"Missing specification(s) in ISOs:
requirement to review and update the policies and procedures at least annually.","27001: 5.1
27001: 5.2
27001: 7.3
27001: 7.4
27001: 7.5
27001: 9.1
27001: 9.3
27001: A.5.1
27001: A.5.4
27001: A.5.37
27001: A.7.7",Partial Gap,"Missing specification(s) in ISOs:
'at least annually (Review)'.","AC-11
AC-11(1)
MP-4
PS-1",No Gap,N/A,"ID.GV-1
PR.DS-5",Partial Gap,"Missing specification(s) in the CSF: 
'Document, approve, apply, evaluate and maintain policies and procedures'.
'policies and procedures that require unattended workspaces to not have openly visible confidential data'. 
'review and update the policies and procedures at least annually'.","GV.PO-01
GV.PO-02
GV.RR-02
ID.IM-03",Partial Gap,"Missing specification(s) in the CSF: 
'document, approve, maintain policies and procedures'
'policies and procedures that require unattended workspaces to not have openly visible confidential data'
'at least annually'.","9.5
12.1
12.1.1",No Gap,N/A,"12.1.1
12.1.2",Partial Gap,"Missing specification(s) in PCI DSS:
'policies and procedures that require unattended workspaces to not have openly
visible confidential data'."
Human Resources,Remote and Home Working Policy and Procedures,HRS-04,"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures to protect information accessed, processed or stored
at remote sites and locations. Review and update the policies and procedures
at least annually.
","CC2.2
CC6.1
CC5.3",Partial Gap,"Missing specification(s) in TSC 2017:
'information processed or stored at remote locations.'
'Review and update the policies and procedures at least annually'.","GRM-06
GRM-09",Partial Gap,"Missing specification(s) in CCMv3.0.1:
'apply, evaluate, policies and procedures to protect information accessed, processed or stored at remote sites and locations'
Requirement of 'at least annually' in last sentence.","13.5
14.8",Partial Gap,"Recommend the full V4 control specification to be used to close the gap.
Portion in the mapped control(s) contributing to the partial gap, that
is, covering in part the V4 control:
(13.5) 'Manage access control for assets remotely connecting to
enterprise resources.' (14.8) 'all users securely configure their home
network infrastructure'.",PM1.5,Partial Gap,"Missing specification(s) in SOGP: 
'review and update the policies and procedures at least annually'.","27001: 5.1
27001: 5.2
27001: 7.3
27001: 7.4
27001: 7.5
27001: 9.1
27001: 9.3
27001: A.5
27002: 5
27001: A.6.2.2
27002: 6.2.2
27001: A.11.2.6
27002: 11.2.6",Partial Gap,"Missing specification(s) in ISOs:
requirement to review and update the policies and procedures at least annually.","27001: 5.1
27001: 5.2
27001: 7.3
27001: 7.4
27001: 7.5
27001: 9.1
27001: 9.3
27001: A.5.1
27001: A.5.4
27001: A.5.37
27001: A.6.7
27001: A.7.9",Partial Gap,"Missing specification(s) in ISOs:
'at least annually (Review)'.","AC-17
AC-17(6)
AC-17(9)
AC-20
AC-20(1)-(5)
PE-17
PS-1
SC-7
SC-7(7)",No Gap,N/A,"ID.GV-1
PR.DS-1
PR.DS-2
PR.AC-3",Partial Gap,"Missing specification(s) in the CSF:
'Document, approve, apply, evaluate and maintain policies and procedures'
'policies and procedures to protect information accessed, processed or stored at remote sites and locations'. 
'Review and update the policies and procedures at least annually'.","GV.PO-01
GV.PO-02
PR.DS-01
PR.DS-02
PR.DS-10
PR.AA-06
ID.IM-03",Partial Gap,"Missing specification(s) in the CSF: 
'document, approve, maintain policies and procedures'
'policies and procedures to protect information accessed, processed or stored at remote sites and locations'
'at least annually'.","12.1
12.1.1
12.3.10",No Gap,N/A,"12.1.1
12.1.2",Partial Gap,"Missing specification(s) in PCI DSS:
'policies and procedures to protect information accessed, processed or stored
at remote sites and locations'."
Human Resources,Asset returns,HRS-05,"Establish and document procedures for the return of organization-owned
assets by terminated employees.
",No Mapping,Full Gap,The full V4 control specification is missing from TSC 2017 and has to be used to close the gap.,HRS-01,Partial Gap,"Missing specification(s) in CCMv3.0.1:
'Establish and document procedures'",No Mapping,Full Gap,The full V4 control specification is missing from CISv8.0 and has to be used to close the gap.,PM1.1,No Gap,N/A,"27001: A.8.1.4
27002: 8.1.4
27017: 8.1.4",No Gap,N/A,27001: A.5.11,No Gap,N/A,"PS-1
PS-4
PS-4(1)
PS-6
PS-6(3)",No Gap,N/A,"PR.DS-3
PR.IP-11",Partial Gap,Recommend that the full CCM control specification is to be used to close the gap. The mapped CSF controls cover in part the high specificity of the CCM control objective.,"GV.RR-04
GV.SC-10
ID.AM-08",Partial Gap,Recommend that NIST CSF 2.0 use the full CCM control specification to close the gap. The mapped CSF controls cover in part the high specificity of the CCM control objective.,9.3,No Gap,N/A,8.2.5,Partial Gap,"Missing specification(s) in PCI DSS:
'Establish and document procedures for the return of organization-owned assets'."
Human Resources,Employment Termination,HRS-06,"Establish, document, and communicate to all personnel the procedures
outlining the roles and responsibilities concerning changes in employment.
",CC2.2,No Gap,N/A,HRS-04,No Gap,N/A,"6.1
6.2",Partial Gap,"Recommend the full V4 control specification to be used to close the gap.
Portion in the mapped control(s) contributing to the partial gap, that
is, covering in part the V4 control:
(6.1) 'Establish and follow a process, preferably automated, for granting
access to enterprise assets upon new hire, rights grant, or role change
of a user.' (6.2) 'revoking access to enterprise assets, through
disabling accounts immediately upon termination, rights revocation, or
role change of a user'.",PM1.1,No Gap,N/A,"27001: A.7.3.1
27002: 7.3.1
27017: 7.3.1",No Gap,N/A,27001: A.6.5,No Gap,N/A,"AC-17
AC-17(9)
PS-1
PS-4
PS-4(1)
PS-4(2)
PS-5
PS-6
PS-6(3)
SI-4
SI-4(19)
SI-4(21)",No Gap,N/A,"PR.AT-5
PR.IP-11",Partial Gap,Recommend that the full CCM control specification is to be used to close the gap. The mapped CSF controls cover in part the high specificity of the CCM control objective.,"GV.RR-02
GV.RR-04",No Gap,N/A,12.5,No Gap,N/A,No Mapping,Full Gap,The full CCM control specification is missing from the PCI DSS and has to be used to close the gap.
Human Resources,Employment Agreement Process,HRS-07,"Employees sign the employee agreement prior to being granted access
to organizational information systems, resources and assets.
","CC1.1
CC1.4
CC2.2
CC5.2
CC5.3",No Gap,N/A,HRS-03,No Gap,N/A,No Mapping,Full Gap,The full V4 control specification is missing from CISv8.0 and has to be used to close the gap.,PM1.2,No Gap,N/A,No Mapping,Full Gap,The full V4 control specification is missing from the ISOs and has to be used to close the gap.,"27001: A.6.2
27002: 6.2 (a)",No Gap,N/A,"PE-3
PE-3(1)
PS-6
PS-6(2)
PS-9",No Gap,N/A,PR.IP-11,Partial Gap,Recommend that the full CCM control specification is to be used to close the gap. The mapped CSF controls cover in part the high specificity of the CCM control objective.,GV.RR-04,Partial Gap,Recommend that NIST CSF 2.0 use the full CCM control specification to close the gap. The mapped CSF controls cover in part the high specificity of the CCM control objective.,No Mapping,Full Gap,The full V4 control specification is missing from PCI DSS v3.2.1 and has to be used to close the gap.,No Mapping,Full Gap,The full CCM control specification is missing from the PCI DSS and has to be used to close the gap.
Human Resources,Employment Agreement Content,HRS-08,"The organization includes within the employment agreements provisions
and/or terms for adherence to established information governance and security
policies.
","CC1.1
CC1.4
CC2.2
CC5.2
CC5.3",No Gap,N/A,HRS-03,No Gap,N/A,No Mapping,Full Gap,The full V4 control specification is missing from CISv8.0 and has to be used to close the gap.,PM1.2,No Gap,N/A,"27001: 7.3
27001: A.7.1.2
27002: 7.1.2
27017: 7.1.2",No Gap,N/A,"27001: 7.3
27001: A.6.2",No Gap,N/A,"PL-4
PL-4(1)
PS-6
PS-6(2)
PS-6(3)
PS-7",No Gap,N/A,"PR.AT-1
PR.IP-11",Partial Gap,Recommend that the full CCM control specification is to be used to close the gap. The mapped CSF controls cover in part the high specificity of the CCM control objective.,"GV.RR-02
GV.RR-04",No Gap,N/A,12.6.2,Partial Gap,"Missing specification(s) in PCI DSS:
'within the employment agreements'.",No Mapping,Full Gap,The full CCM control specification is missing from the PCI DSS and has to be used to close the gap.
Human Resources,Personnel Roles and Responsibilities,HRS-09,"Document and communicate roles and responsibilities of employees,
as they relate to information assets and security.
","CC1.3
CC1.4
CC1.5
CC2.2",No Gap,N/A,"HRS-07
HRS-10",No Gap,N/A,"14.1
14.2
14.3
14.4
14.5
14.6
14.7
14.8
14.9",No Gap,N/A,PM1.3,No Gap,N/A,"27001: 7.4
27001: A.6.1.1
27002: 6.1.1
27017: 6.1.1",No Gap,N/A,"27001: 7.4
27001: A.5.2",No Gap,N/A,"AC-1
AT-1
PS-1",No Gap,N/A,"ID.AM-6
ID.GV-1
ID.GV-2
PR.AT-1
PR.AT-2
PR.AT-4
PR.AT-5",No Gap,N/A,"PR.AT-01
PR.AT-02
GV.SC-02
GV.RR-01
GV.RR-02
GV.PO-01",No Gap,N/A,12.5,No Gap,N/A,"12.1.3
1.1.2
2.1.2
3.1.2
3.7.8
4.1.2
5.1.2
6.1.2
7.1.2
8.1.2
9.1.2
10.1.2
11.1.2
A3.1.3",No Gap,N/A
Human Resources,Non-Disclosure Agreements,HRS-10,"Identify, document, and review, at planned intervals, requirements
for non-disclosure/confidentiality agreements reflecting the organization's
needs for the protection of data and operational details.
","CC9.2
P6.4",No Gap,N/A,HRS-06,No Gap,N/A,No Mapping,Full Gap,The full V4 control specification is missing from CISv8.0 and has to be used to close the gap.,PM1.2,No Gap,N/A,"27001: A.7.1.2
27002: 7.1.2
27017: 7.1.2
27001: A.13.2.4
27002: 13.2.4
27017: 13.2.4",No Gap,N/A,"27001: A.6.2
27001: A.6.6",No Gap,N/A,"PL-4
PS-6
PS-6(2)",No Gap,N/A,PR.IP-11,Partial Gap,Recommend that the full CCM control specification is to be used to close the gap. The mapped CSF controls cover in part the high specificity of the CCM control objective.,"GV.RR-04
GV.SC-02",Partial Gap,Recommend that NIST CSF 2.0 use the full CCM control specification to close the gap. The mapped CSF controls cover in part the high specificity of the CCM control objective.,No Mapping,Full Gap,The full V4 control specification is missing from PCI DSS v3.2.1 and has to be used to close the gap.,No Mapping,Full Gap,The full CCM control specification is missing from the PCI DSS and has to be used to close the gap.
Human Resources,Security Awareness Training,HRS-11,"Establish, document, approve, communicate, apply, evaluate and maintain
a security awareness training program for all employees of the organization
and provide regular training updates.
",CC2.2,Partial Gap,"Missing specification(s) in TSC 2017:
'provide regular training updates'.","HRS-09
HRS-10",Partial Gap,"Missing specification(s) in CCMv3.0.1:
'approve, evaluate and maintain a security awareness training program'",14,No Gap,N/A,"PM2.1
PM2.2
PM2.3",No Gap,N/A,"27001: 7.3
27001: 7.4
27001: A.7.2.2
27002: 7.2.2
27017: 7.2.2",No Gap,N/A,"27001: 7.3
27001: 7.4
27001: A.5.37
27001: A.6.3",No Gap,N/A,"AT-1
AT-2
AT-2(1)-(6)
AT-4
AT-6",No Gap,N/A,PR.AT-1,Partial Gap,"Missing specification(s) in the CSF: 
'regular training updates'.",PR.AT-01,No Gap,N/A,"12.6
12.6.1
12.6.1a
12.6.1b
12.6.1c
12.6.2",No Gap,N/A,"12.6.1
12.6.2
12.6.3
12.6.3.1
12.6.3.2
A3.1.4",No Gap,N/A
Human Resources,Personal and Sensitive Data Awareness and Training,HRS-12,"Provide all employees with access to sensitive organizational and
personal data with appropriate security awareness training and regular updates
in organizational procedures, processes, and policies relating to their professional
function relative to the organization.
",CC2.2,Partial Gap,"Missing specification(s) in TSC 2017:
'sensitive organizational and personal data with appropriate security
awareness training'.","HRS-09
HRS-10",Partial Gap,"Missing specification(s) in CCMv3.0.1:
'Provide all employees with access to sensitive organizational and personal data with appropriate security
awareness training'","14.1
14.9",Partial Gap,"Missing specifications in CISv8.0:
'Provide all employees with access to personal data with appropriate
security awareness training'","PM2.1
PM2.2
PM2.3",No Gap,N/A,"27001: 7.3
27001: A.7.2.2
27002: 7.2.2
27017: 7.2.2",Partial Gap,"Missing specification(s) in ISOs:
Requirement to focus training on 'sensitive organizational and personal data'","27001: 7.3
27001: A.6.3",No Gap,N/A,"AT-3
AT-3(1)
AT-3(2)
AT-3(3)
AT-3(5)
AT-4
AT-6
IR-9
IR-9(2)
PM-12
PM-16
SR-11
SR-11(1)",No Gap,N/A,"PR.AT-1
PR.AT-2
PR.AT-4
PR.AT-5",Partial Gap,Recommend that the full CCM control specification is to be used to close the gap. The mapped CSF controls cover in part the high specificity of the CCM control objective.,"PR.AT-01
PR.AT-02",No Gap,N/A,12.6.1c,No Gap,N/A,"12.6.1
12.6.2
12.6.3
12.6.3.1
12.6.3.2
A3.1.4",Partial Gap,"Missing specification(s) in PCI DSS:
'(awareness training for) employees with access to sensitive organizational and
personal data'."
Human Resources,Compliance User Responsibility,HRS-13,"Make employees aware of their roles and responsibilities for maintaining
awareness and compliance with established policies and procedures and applicable
legal, statutory, or regulatory compliance obligations.
","CC1.3
CC1.5
CC2.2",No Gap,N/A,HRS-10,No Gap,N/A,No Mapping,Full Gap,The full V4 control specification is missing from CISv8.0 and has to be used to close the gap.,"PM2.1
PM2.2
PM2.3",No Gap,N/A,"27001: 5.1
27001: 7.3
27001: A.7.2.1
27002: 7.2.1
27017: 7.2.1",Partial Gap,"Missing specification(s) in ISOs:
requirement to focus on 'applicable legal, statutory, or regulatory compliance obligations.'","27001: 5.1
27001: 7.3
27001: A.5.4
27001: A.6.2",No Gap,N/A,"PL-4
PL-4(1)
PS-1
PS-6
PS-6(2)",No Gap,N/A,"ID.AM-6
PR.AT-1
PR.AT-2
PR.AT-4
PR.AT-5
ID.GV-1
ID.GV-3",Partial Gap,"Missing specification(s) in the CSF: 
'maintain awareness of compliance obligations'.
'maintain awareness of applicable legal, statutory, or regulatory compliance obligations'.","GV.RR-01
GV.RR-02
GV.SC-02
PR.AT-01
PR.AT-02
GV.OC-03",No Gap,N/A,"A3.1.4
12.6
12.4.1.a",No Gap,N/A,12.6.1,Partial Gap,"Missing specification(s) in PCI DSS:
'maintaining awareness and compliance with applicable legal, statutory, or regulatory
compliance obligations'."
Identity & Access Management,Identity and Access Management Policy and Procedures,IAM-01,"Establish, document, approve, communicate, implement, apply, evaluate
and maintain policies and procedures for identity and access management. Review
and update the policies and procedures at least annually.
","CC5.3
CC6.1
CC6.2
CC6.3",No Gap,N/A,"IAM-02
GRM-06
GRM-09",Partial Gap,"Missing specification(s) in CCMv3.0.1:
Requirement of 'at least annually' in last sentence.","6.1
6.2
6.6",Partial Gap,"Recommend the full V4 control specification to be used to close the gap.
Portion in the mapped control(s) contributing to the partial gap, that
is, covering in part the V4 control:
6.1 'Establish an Access Granting Process'
6.2 'Establish an Access Revoking Process'
6.6 'Establish and Maintain an Inventory of Authentication and
Authorization Systems'.",SA1.1,Partial Gap,"Missing specification(s) in SOGP: 
'review and update the policies and procedures at least annually'.","27001: 5.1
27001: 5.2
27001: 7.3
27001: 7.4
27001: 7.5
27001: 9.1
27001: 9.3
27001: A.9.1.1
27002: 9.1.1
27001: A.5
27002: 5",No Gap,N/A,"27001: 5.1
27001: 5.2
27001: 7.3
27001: 7.4
27001: 7.5
27001: 9.1
27001: 9.3
27001: A.5.1
27001: A.5.4
27001: A.5.15
27001: A.5.16
27001: A.5.17
27001: A.5.18
27001: A.5.37",Partial Gap,"Missing specification(s) in ISOs:
'at least annually (Review)'.","AC-1
AC-2
AC-2(3)
AC-2(9)
AC-2(11)
AC-16
AC-16(1)
AC-16(6)
IA-4
IA-4(5)
IA-4(6)
IA-5
IA-5(16)
IA-8
IA-8(4)
IA-12
IA-12(2)-(6)",No Gap,N/A,"ID.GV-1
PR.AC-1
PR.AC-4
PR.AC-7",Partial Gap,"Missing specification(s) in the CSF: 
'document, approve, implement, apply, evaluate and maintain policies and procedures'.
'policies and procedures for identity and access management'.
'Review and update the policies and procedures at least annually'.","GV.PO-01
GV.PO-02
ID.IM-03
PR.AA-01
PR.AA-02
PR.AA-03
PR.AA-04
PR.AA-05",Partial Gap,"Missing specification(s) in the CSF: 
'document, approve, maintain policies and procedures'
'policies and procedures for identity and access management'
'at least annually'.","7.1
7.3
8.1
8.4
8.5
8.8
12.1
12.1.1
12.11
12.5.4",Partial Gap,"Missing specification(s) in PCI DSS:
'approve policies and procedures for identity and access management'.","12.1.1
12.1.2
7.1.1
8.1.1",No Gap,N/A
Identity & Access Management,Strong Password Policy and Procedures,IAM-02,"Establish, document, approve, communicate, implement, apply, evaluate
and maintain strong password policies and procedures. Review and update the
policies and procedures at least annually.
",No Mapping,Full Gap,The full V4 control specification is missing from TSC 2017 and has to be used to close the gap.,"IAM-02
IAM-12
GRM-06
GRM-09",Partial Gap,"(If Password is equal to ""authentication secrets"" then)
Missing specification(s) in CCMv3.0.1:
Requirement of 'at least annually' in last sentence.",5.2,No Gap,N/A,"SA1.1
SA1.5",Partial Gap,"Missing specification(s) in SOGP: 
'review and update the policies and procedures at least annually'.","27001: 5.1
27001: 5.2
27001: 7.3
27001: 7.4
27001: 7.5
27001: 9.1
27001: 9.3
27001: A.5
27002: 5
27001: A.9.4.3
27002: 9.4.3
27017: 9.4.3
27018: 9.4.3
27001: A.9.2.4
27002: 9.2.4
27017: 9.2.4
27001: A.7.2.2
27002: 7.2.2
27001: A.9.2.6
27002: 9.2.6
27001: A.9.2.3
27002: 9.2.3",Partial Gap,"Missing specification(s) in ISOs:
Requirement to review and update the policies and procedures at least annually.","27001: 5.1
27001: 5.2
27001: 7.3
27001: 7.4
27001: 7.5
27001: 9.1
27001: 9.3
27001: A.5.1
27001: A.5.4
27001: A.5.17
27001: A.6.3
27001: A.8.5
27001: A.5.37",Partial Gap,"Missing specification(s) in ISOs:
'at least annually (Review)'.","AC-2
AC-2(3)
AC-2(11)
AC-3
AC-3(3)
AC-12
AC-12(1)
IA-2
IA-2(10)
IA-5
IA-5(1)
IA-5(18)",No Gap,N/A,"ID.GV-1
PR.AC-1
PR.AC-7",Partial Gap,"Missing specification(s) in the CSF: 
'document, approve, implement, apply, evaluate and maintain strong password policies and procedures'.
'Review and update the policies and procedures at least annually'.","GV.PO-01
GV.PO-02
ID.IM-03
PR.AA-03",Partial Gap,"Missing specification(s) in the CSF: 
'document, approve, maintain policies and procedures'
'strong password policies and procedures'
'at least annually'.","8.4
12.1
12.1.1
12.11",Partial Gap,"Missing specification(s) in PCI DSS:
'approve strong password policies and procedures'.","8.1.1
8.3.8",Partial Gap,"Recommend that the full CCM control specification is to be used to close the gap.
The mapped PCI DSS control cover in part the high specificity of the CCM control
objective."
