ccm4_0_12_ctrl_domain,ccm4_0_12_ctrl_title,ccm4_0_12_ctrl_id,ccm4_0_12_ctrl_specification,ccm4_0_12_ctrl_auditing_guidelines
Data Security and Privacy Lifecycle Management,Security and Privacy Policy and Procedures,DSP-01,"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for the classification, protection and handling of data
throughout its lifecycle, and according to all applicable laws and regulations,
standards, and risk level. Review and update the policies and procedures at
least annually.
","1. Examine the organization's policy and procedures related to data privacy. Determine if a framework exists to ensure that the organization monitors the regulatory and legislative environment for changes applicable to the organization. Confirm whether the organization has documented the roles and responsibilities that support the management of its policy.
2. Determine whether policy and procedure content is sufficient to direct the compliant and lawful management of personal data and to address non-compliance.
3. Confirm whether policy addresses the requirement that the organization's data is used only for authorized purposes and in compliance with legislation and regulation.
4. Examine if the policy and procedures are reviewed on an appropriate basis.
5. Examine the measure(s) that evaluate(s) compliance with the organization's data privacy and security policy and determine if the measure(s) address(es) implementation of the policy/control requirement(s) as stipulated.
6. Examine documentation to determine if the function responsible for data privacy compliance reviews the information to determine whether the organization is compliant with current legislation and regulation.
7. Confirm that the procedure exists for follow-up on deviation to current legislation and regulations and is up to date.
"
Data Security and Privacy Lifecycle Management,Secure Disposal,DSP-02,"Apply industry accepted methods for the secure disposal of data from
storage media such that data is not recoverable by any forensic means.
","1. Examine the organization's procedures and technical requirements related to the secure disposal of data from storage media.  Establish that this process and key controls comply with the organization's data privacy and security policy.  Establish whether the organization has documented the roles and responsibilities for this process.
2. Select a sample of disposal requests and assess whether they have followed the process through to completion.  Confirm that all evidence was formally documented and recorded.
3. Examine measure(s) that evaluate(s) this process and determine if the measure(s) address(es) implementation of the process/control requirement(s) as stipulated.  Reviews, tests, or audits should be completed periodically by the organization to measure the effectiveness of the implemented controls and to verify that non-compliance and opportunities for improvement are identified, evaluated for risk, reported, and corrected in a timely manner.
4. Obtain and examine supporting documentation maintained as evidence of these metrics to determine if the office or individual responsible reviews the information and if identified issues were investigated and corrected. Determine if the individual or office is able to correct issues without the need to routinely escalate the issues to the next level of management. Examine related records to determine if the individual or office conducted any follow-ups on the deviations to verify they were corrected as intended.
"
Data Security and Privacy Lifecycle Management,Data Inventory,DSP-03,"Create and maintain a data inventory, at least for any sensitive
data and personal data.
","1. Examine the organization's procedures and technical requirements for the population and management of its data inventory.  Establish that this process and key controls comply with the organization's data privacy and security policy.  Establish whether the organization has documented the roles and responsibilities for this process.
2. Select a sample of entries to ensure they have been recorded correctly on the inventory. The sample must include a proportion of sensitive and personal data entries.
3. Assess whether management of the data inventory meets the organization's expectations.
4. Examine measure(s) that evaluate(s) this process and determine if the measure(s) address(es) implementation of the process/control requirement(s) as stipulated.  Reviews, tests, or audits should be completed periodically by the organization to measure the effectiveness of the implemented controls and to verify that non-compliance and opportunities for improvement are identified, evaluated for risk, reported, and corrected in a timely manner.
5. Obtain and examine supporting documentation maintained as evidence of these metrics to determine if the office or individual responsible reviews the information and if identified issues were investigated and corrected. Determine if the individual or office is able to correct issues without the need to routinely escalate the issues to the next level of management. Examine related records to determine if the individual or office conducted any follow-ups on the deviations to verify they were corrected as intended.
"
Data Security and Privacy Lifecycle Management,Data Classification,DSP-04,"Classify data according to its type and sensitivity level.
","1. Examine the organization's procedures and technical requirements for classifying data. Establish that this process and key controls comply with the organization's data privacy and security policy.  Establish whether the organization has documented the roles and responsibilities for this process.
2. Establish if the organization's data classification matrix is aligned with the organization's data classification requirements.
3. Select a sample of data to confirm that each item has been classified appropriately.
4. Examine measure(s) that evaluate(s) this process and determine if the measure(s) address(es) implementation of the process/control requirement(s) as stipulated.  Reviews, tests, or audits should be completed periodically by the organization to measure the effectiveness of the implemented controls and to verify that non-compliance and opportunities for improvement are identified, evaluated for risk, reported, and corrected in a timely manner.
5. Obtain and examine supporting documentation maintained as evidence of these metrics to determine if the office or individual responsible reviews the information and if identified issues were investigated and corrected. Determine if the individual or office is able to correct issues without the need to routinely escalate the issues to the next level of management. Examine related records to determine if the individual or office conducted any follow-ups on the deviations to verify they were corrected as intended.
"
Data Security and Privacy Lifecycle Management,Data Flow Documentation,DSP-05,"Create data flow documentation to identify what data is processed,
stored or transmitted where. Review data flow documentation at defined intervals,
at least annually, and after any change.
","1. Examine the organization's procedures and technical requirements for recording data flows and that a review is carried out at least annually.  Establish that this process and key controls comply with the organization's data privacy and security policy.  Establish whether the organization has documented the roles and responsibilities for this process.
2. Select a sample of documents to check that they have been completed to the correct specifications and reviewed. 
3. Review if data flow documentation includes assessment for accuracy, completeness, timeliness, and sustainability of data (flow).
4. Examine measure(s) that evaluate(s) this process and determine if the measure(s) address(es) implementation of the process/control requirement(s) as stipulated.  Reviews, tests, or audits should be completed periodically by the organization to measure the effectiveness of the implemented controls and to verify that non-compliance and opportunities for improvement are identified, evaluated for risk, reported, and corrected in a timely manner.
5. Obtain and examine supporting documentation maintained as evidence of these metrics to determine if the office or individual responsible reviews the information and if identified issues were investigated and corrected. Determine if the individual or office is able to correct issues without the need to routinely escalate the issues to the next level of management. Examine related records to determine if the individual or office conducted any follow-ups on the deviations to verify they were corrected as intended.
"
Data Security and Privacy Lifecycle Management,Data Ownership and Stewardship,DSP-06,"Document ownership and stewardship of all relevant documented personal
and sensitive data. Perform review at least annually.
","1. Examine the organization's data owner process and roles and responsibilities documentation.  Establish that this process and key controls comply with the organization's data privacy and security policy.  Establish whether the organization has documented the roles and responsibilities for this process.
2. Establish that the organization maintains a source(s) of record of data owners and the records for which they are responsible.  Establish that this must include personal data and sensitive data.
3. In the absence of a documented procedure, interview control owner(s) responsible for key staff involved in/with, and/or other relevant stakeholders impacted by the process/control requirement(s) and determine if the requirement(s) is/are understood.  Evidence may be provided by observing individuals, systems and/or processes associated with data management to determine if the process requirements are generally understood and implemented consistently.
4. Select a range of entries to establish the information recorded is correct.
5. Assess whether oversight of the data ownership process meets the organization's expectations.
6. Examine if the documentation is reviewed on an annual basis.
7. Examine measure(s) that evaluate(s) this process and determine if the measure(s) address(es) implementation of the process/control requirement(s) as stipulated.  Reviews, tests, or audits should be completed periodically by the organization to measure the effectiveness of the implemented controls and to verify that non-compliance and opportunities for improvement are identified, evaluated for risk, reported, and corrected in a timely manner.
8. Obtain and examine supporting documentation maintained as evidence of these metrics to determine if the office or individual responsible reviews the information and if identified issues were investigated and corrected. Determine if the individual or office is able to correct issues without the need to routinely escalate the issues to the next level of management. Examine related records to determine if the individual or office conducted any follow-ups on the deviations to verify they were corrected as intended.
"
Data Security and Privacy Lifecycle Management,Data Protection by Design and Default,DSP-07,"Develop systems, products, and business practices based upon a principle
of security by design and industry best practices.
","1. Examine whether the organization's policy, standards, and procedures create a framework which fosters a culture and expectation of “security through design.”  Determine whether this content addresses the directive of the organization's culture and whether practices reflect security through design.
2. Examine whether the organization's governance framework, documents, controls, and metrics satisfy the organization and if its sub-processors comply with this requirement.  Establish whether the organization has documented the roles and responsibilities involved.
3. Review the organization's data breaches log, the security incidents log, and project change failure records for examples where this requirement was not followed correctly.  Further, confirm that action plans were identified and carried out.
4. Examine the measures that evaluate this organizational requirement and determine if the measures address implementation of process and control requirements as stipulated. 
5. Obtain and examine supporting documentation maintained as evidence of these metrics to determine if the office or individual responsible reviews the information and if identified issues were investigated and remediated appropriately.
"
Data Security and Privacy Lifecycle Management,Data Privacy by Design and Default,DSP-08,"Develop systems, products, and business practices based upon a principle
of privacy by design and industry best practices. Ensure that systems' privacy
settings are configured by default, according to all applicable laws and regulations.
","1. Examine whether the organization's policy, standards, processes, and controls create a framework that fosters a culture and expectation of “data privacy through design.”  Determine whether this content addresses the directive of the organization's culture and if practices reflect data privacy through design.
2. Examine whether the organization's governance framework, documents, controls, and metrics satisfy the organization and whether its sub-processors comply with this requirement.  Establish whether the organization has documented the roles and responsibilities involved.
3. Review the organization's data breaches log, the security incidents log, and project change failure records for examples where this requirement was not followed correctly.  Further, confirm that action plans were identified and carried out appropriately.
"
Data Security and Privacy Lifecycle Management,Data Protection Impact Assessment,DSP-09,"Conduct a Data Protection Impact Assessment (DPIA) to evaluate the
origin, nature, particularity and severity of the risks upon the processing
of personal data, according to any applicable laws, regulations and industry
best practices.
","1. Examine procedures related to DPIA risk assessment and determine if once a requirement has been established, the organization identifies and grades the associated risks and reports and prioritizes the remediation of risks and non-compliance activities. Examine whether the DPIA process and templates align to the organization's risk methodology and taxonomy.
2. Establish whether the organization has documented the roles and responsibilities for this process.
3. Select a sample of DPIAs and examine evidence to confirm that each assessment was performed to identify associated risks. Further, confirm that any action plans were identified and carried out appropriately.  Confirm that all relevant evidence was formally documented.
"
Data Security and Privacy Lifecycle Management,Sensitive Data Transfer,DSP-10,"Define, implement and evaluate processes, procedures and technical
measures that ensure any transfer of personal or sensitive data is protected
from unauthorized access and only processed within scope as permitted by the
respective laws and regulations.
","1. Examine the organization's procedures and technical requirements for the secure and lawful transfer of personal data and sensitive data.  Establish that this process and key controls comply with the organization's data privacy and security policy. 
2. Establish whether the organization has documented the roles and responsibilities for this process.
3. Select a range of personal data transfers and a range of sensitive data transfers to confirm that each transfer adhered to the organization's policy, procedures, and controls. Confirm that all relevant evidence was formally documented.
"
Data Security and Privacy Lifecycle Management,"Personal Data Access, Reversal, Rectification and Deletion",DSP-11,"Define and implement, processes, procedures and technical measures
to enable data subjects to request access to, modification, or deletion of their
personal data, according to any applicable laws and regulations.
","1. Examine whether the organization's policy and procedures related to data privacy addresses the requirement that authorized users must be able to access, modify, or delete personal data.  Establish whether the organization has processes in place to manage and respond to data access requests from data subjects.  Establish whether the organization has documented the roles and responsibilities for this process.
2. Select a range of data changes to confirm that only authorized users are able to successfully access, modify and delete personal data.  Select a sample of data access requests to establish that these were completed correctly following the organization's processes.  Confirm that all relevant evidence was formally documented.
"
Data Security and Privacy Lifecycle Management,Limitation of Purpose in Personal Data Processing,DSP-12,"Define, implement and evaluate processes, procedures and technical
measures to ensure that personal data is processed according to any applicable
laws and regulations and for the purposes declared to the data subject.
","1. Examine whether the organization's policy and procedures related to data privacy address the requirement that data the organization is responsible for is processed lawfully and used only for the purposes stated to data subjects.
2. Establish whether the organization has documented the roles and responsibilities for this process.
3. Review the organization's data breaches and confirm that action plans were identified and carried out appropriately. Confirm that all supporting evidence was formally documented. 
4. Review the organization's processes that inform data subjects why the organization requests this data and what it will be used for. Confirm that any organization documentation (including web page content) is subject to formal periodic review for relevance and compliance to legislation and regulation.
"
Data Security and Privacy Lifecycle Management,Personal Data Sub-processing,DSP-13,"Define, implement and evaluate processes, procedures and technical
measures for the transfer and sub-processing of personal data within the service
supply chain, according to any applicable laws and regulations.
","1. Examine the organization's contractual terms, procedures, roles and responsibility documents and technical requirements for the transfer of personal data and sensitive data to sub-processors and how sub-processors are to treat this data.
2. Establish whether the organization has documented the roles and responsibilities for this process.
3. Select a sample of data transfers to sub-processors to establish that the controls and reporting the sub-processor are in place and ensure that these comply with the organization's data privacy and security policy.
4. Examine the organization's contractual requirements for sub-processor compliance, reporting and non-compliance sanctions, and the organization's right to audit. Establish sub-processors' processes, controls and metrics to comply with those of the organization.
"
Data Security and Privacy Lifecycle Management,Disclosure of Data Sub-processors,DSP-14,"Define, implement and evaluate processes, procedures and technical
measures to disclose the details of any personal or sensitive data access by
sub-processors to the data owner prior to initiation of that processing.
","1. Examine the organization's contractual requirements and procedures whereby sub-processors will disclose all occasions when personal or sensitive data was accessible by sub-processors prior to initiation of that processing.
2. Establish whether the organization has documented the roles and responsibilities for this process.
3. Select a sample of data transfers to sub-processors to establish that the controls and reporting the sub-processor are in place and ensure that these comply with the organization's data privacy and security policy.

Note: A real-life case will be rare.  Should it not be possible to follow a real-life case, a theoretical case should be tested to establish that systems, processes, and controls are operating as designed and as agreed with the sub-processor.
"
Data Security and Privacy Lifecycle Management,Limitation of Production Data Use,DSP-15,"Obtain authorization from data owners, and manage associated risk
before replicating or using production data in non-production environments.
","1. Examine the organization's procedures and technical requirements related to the use of production data in non-production environments or requests to replicate production data for use in non-production environments.
2. Establish whether the organization has documented the roles and responsibilities for this process.
3. Select a sample of requests and assess whether such requests have followed the approval and secure deployment processes through to completion.  Confirm that all relevant evidence was formally documented and recorded. 
4. Review the organization's data breaches for examples in which this requirement was not followed correctly.  Further, confirm that any appropriate action plans were identified and carried out.
"
Data Security and Privacy Lifecycle Management,Data Retention and Deletion,DSP-16,"Data retention, archiving and deletion is managed in accordance with
business requirements, applicable laws and regulations.
","1. Examine the organization's procedures, technical requirements and other documentation for the retention, archiving and deletion of data. 
2. Establish whether the organization has documented the roles and responsibilities for this process.
3. Establish that the organization maintains a source(s) of record of data types, owners, and retention periods.  Select a range of entries to establish that the information recorded is correct.
4. Establish how the organization determines that its retention records are accurate and complete. Establish that the organization has documented its understanding of the extent of its remit in terms of its role as a supplier and the extent of its own supplier's obligations to this requirement.
5. Confirm that the data retention process meets the organization's requirements as detailed in policy and procedures.
"
Data Security and Privacy Lifecycle Management,Sensitive Data Protection,DSP-17,"Define and implement, processes, procedures and technical measures
to protect sensitive data throughout it's lifecycle.
","1. Examine whether the organization's policy and procedures related to data privacy address the requirement to manage and protect sensitive data throughout its lifecycle. 
2. Establish whether the organization has documented the roles and responsibilities for this process.
3. Select a sample of sensitive data types to establish the systems, processes, and controls operating to manage sensitive data throughout its lifecycle.  Select a sample to establish the examples following the organization's processes.
4. Review the organization's data breaches for examples for which this requirement was not followed correctly.  Further, confirm that any relevant action plans were identified and carried out.  Confirm that all relevant evidence was formally documented.
"
Data Security and Privacy Lifecycle Management,Disclosure Notification,DSP-18,"The CSP must have in place, and describe to CSCs the procedure to
manage and respond to requests for disclosure of Personal Data by Law Enforcement
Authorities according to applicable laws and regulations. The CSP must give
special attention to the notification procedure to interested CSCs, unless otherwise
prohibited, such as a prohibition under criminal law to preserve confidentiality
of a law enforcement investigation.
","1. Examine the organization's procedures and technical requirements related to personal data requests from law enforcement authorities. 
2. Establish that processes and controls comply with the organization's data privacy and security policy. 
3. Establish whether the organization has documented the roles and responsibilities for this process.
4. Select a sample of requests and assess whether such requests have followed the approvals and secure communication processes through to completion.  Confirm that all evidence was formally documented. 
5. Review the organization's data breaches for examples for which this requirement was not followed correctly.  Further, confirm that relevant action plans were identified and carried out.
"
Data Security and Privacy Lifecycle Management,Data Location,DSP-19,"Define and implement, processes, procedures and technical measures
to specify and document the physical locations of data, including any locations
in which data is processed or backed up.
","1. Examine the organization's procedures, technical requirements, and other documentation to direct, manage and review the records of the organization's data physical storage locations. 
2. Establish whether the organization has documented the roles and responsibilities for this process. 
3. Confirm that the organization’s policy and procedures include details of guidelines for the storage and processing of data within the designated countries/regions/zones/jurisdictions.
4. Establish that the organization maintains a source(s) of record of its physical data storage locations and is able to trace data lineage. Select a range of entries to establish that the information is recorded appropriately.
5. Confirm that the data storage records are accurate and complete as detailed in policy and procedures.
6. Establish that the organization has documented its understanding of the extent of its remit in terms of its role as a supplier and the extent of its own supplier's obligations to this requirement.
7. Confirm that the data storage process meets the organization's requirements as detailed in policy and procedures.
"
"Governance, Risk and Compliance",Governance Program Policy and Procedures,GRC-01,"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for an information governance program, which is sponsored
by the leadership of the organization. Review and update the policies and procedures
at least annually.
","1. Examine the policy and/or procedures related to information governance programs to determine whether the organization has developed a comprehensive strategy for information governance.
2. Examine policies and procedures for evidence of review at least annually.
"
"Governance, Risk and Compliance",Risk Management Program,GRC-02,"Establish a formal, documented, and leadership-sponsored Enterprise
Risk Management (ERM) program that includes policies and procedures for identification,
evaluation, ownership, treatment, and acceptance of cloud security and privacy
risks.
","1. Examine the policy and/or procedures related to the Enterprise Risk Management (ERM) program to determine whether the organization has developed a comprehensive strategy to manage risk to organizational operations and assets, and individuals.
2. Review ERM documentation, processes, and supporting evidence to confirm if the ERM program includes provisions for cloud security and privacy risk.  
3. Examine measure(s) that evaluate(s) the organization's compliance with the risk management policy and determine if the measure(s) address(es) implementation of the policy/control requirement(s) as stipulated in the policy level. 
4. Obtain and examine supporting evidence to determine if the office or individual responsible reviews the information and, if issues were identified, if they were investigated and remediated appropriately. 
"
"Governance, Risk and Compliance",Organizational Policy Reviews,GRC-03,"Review all relevant organizational policies and associated procedures
at least annually or when a substantial change occurs within the organization.
","1. Examine the policy and/or procedures related to the Enterprise Risk Management (ERM) program to determine if the organization reviews these documents at least annually or when a substantial change occurs within the organization.
2. Confirm that Policy reviews have taken place in compliance with the organization's review requirements and that any exceptions identified are investigated and remediated.
"
"Governance, Risk and Compliance",Policy Exception Process,GRC-04,"Establish and follow an approved exception process as mandated by
the governance program whenever a deviation from an established policy occurs.
","1.Examine the policy and/or procedures to determine if the policy exception process has been established.
2.Identify and confirm that exceptions to policies are tracked, authorised, and evidenced.
3.Confirm a review of policy exceptions takes place on a periodic basis by appropriate management.
"
"Governance, Risk and Compliance",Information Security Program,GRC-05,"Develop and implement an Information Security Program, which includes
programs for all the relevant domains of the CCM.
","1. Examine the policy and/or procedures related to the Information Security Program to determine whether the organization has developed and implemented a comprehensive strategy to manage Information Security across the organization.
2. Review the details of the information security program and establish if this covers the CCMv4 relevant domains.
3. Confirm that identified gaps/issues are being tracked, monitored, and remediated with appropriate escalation where required. 
"
"Governance, Risk and Compliance",Governance Responsibility Model,GRC-06,"Define and document roles and responsibilities for planning, implementing,
operating, assessing, and improving governance programs.
","1. Confirm the organization has established a governance framework which details roles, responsibilities, and accountability.
2. Evidence that governance meetings are reported and documented appropriately.
3. Confirm that individuals/groups responsible for governance are tracking and monitoring progress against the governance program.
"
"Governance, Risk and Compliance",Information System Regulatory Mapping,GRC-07,"Identify and document all relevant standards, regulations, legal/contractual,
and statutory requirements, which are applicable to your organization.
","1. Confirm that policy and procedures include provisions to identify and document all relevant standards, regulations, legal/contractual, and statutory requirements.
2. Establish that the organization maintains an inventory of CCM controls and relevant regulatory information is mapped across to the CCM inventory. 
3. Identify and examine any metrics and supporting evidence to provide assurance that the information system regulatory mapping is reviewed on a periodic basis, and that any gaps in the mapping are appropriately actioned.
"
"Governance, Risk and Compliance",Special Interest Groups,GRC-08,"Establish and maintain contact with cloud-related special interest
groups and other relevant entities in line with business context.
","1. Examine the organization's policy and procedures related to contact with cloud-related special interest groups to determine if membership is required and actively maintained.
2. Identify relevant individuals responsible for contacting cloud-related special interest groups and determine if the policy requirements stipulated in the policy level have been implemented. 
"
Human Resources,Background Screening Policy and Procedures,HRS-01,"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for background verification of all new employees (including
but not limited to remote employees, contractors, and third parties) according
to local laws, regulations, ethics, and contractual constraints and proportional
to the data classification to be accessed, the business requirements, and acceptable
risk. Review and update the policies and procedures at least annually.
","1. Examine policy for adequacy, currency, communication, and effectiveness.
2. Examine the process for selection of local laws, regulations, ethics, and contractual constraints, and for review of its output.
3. Verify that the background verification required is mapped to the risks and data classification.
4. Examine the policy and procedures for evidence of review at least annually.
5. Examine Human Resources tickets upon hire which trigger background review and final confirmation from third party conducting background reviews showing it has been completed and how exceptions or failed checks have been addressed.
"
Human Resources,Acceptable Use of Technology Policy and Procedures,HRS-02,"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures for defining allowances and conditions for the acceptable
use of organizationally-owned or managed assets. Review and update the policies
and procedures at least annually.
","1. Examine policy for adequacy, currency, communication, and effectiveness.
2. Verify that a definition of organizationally-owned or managed assets exists, and is implemented.
3. Verify, via Interviews or otherwise, that the policy is communicated to users.
4. Examine policy and procedures for evidence of review at least annually.
"
Human Resources,Clean Desk Policy and Procedures,HRS-03,"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures that require unattended workspaces to not have openly
visible confidential data. Review and update the policies and procedures at
least annually.
","1. Examine policy for adequacy, currency, communication, and effectiveness.
2. Verify that secure and unsecure work areas are defined and demarcated.
3. Verify that confidential data is classified appropriately, and that the classification is available at point-of-use.
4. Verify, via Interviews or otherwise, that the policy is communicated to users.
5. Examine policy and procedures for evidence of review at least annually.
"
Human Resources,Remote and Home Working Policy and Procedures,HRS-04,"Establish, document, approve, communicate, apply, evaluate and maintain
policies and procedures to protect information accessed, processed or stored
at remote sites and locations. Review and update the policies and procedures
at least annually.
","1. Examine policy for adequacy, currency, communication, and effectiveness.
2. Verify, via Interviews or otherwise, that remote sites and locations, especially those not under the control of the organization, are defined and demarcated.
3. Verify, via Interviews or otherwise, that the policy and procedures are communicated to users.
4. Examine policy and procedures for evidence of review or at least annually.
"
Human Resources,Asset returns,HRS-05,"Establish and document procedures for the return of organization-owned
assets by terminated employees.
","1. Examine policy for adequacy, currency, communication, and effectiveness.
2. Verify that a definition of organizationally-owned assets exists, and is implemented.
3. Verify that a definition of terminated employees exists, and is implemented.
4. Examine policy and procedures for evidence of review at least annually.
"
Human Resources,Employment Termination,HRS-06,"Establish, document, and communicate to all personnel the procedures
outlining the roles and responsibilities concerning changes in employment.
","1. Examine policy for adequacy, currency, communication, and effectiveness.
2. Verify that organization charts are maintained and available as appropriate.
3. Verify that a definition of terminated employees exists, and is implemented.
4. Examine policy and procedures for notification of stakeholders upon changes in employment, or of roles, and the appropriate activities are triggered, i.e. access changes, asset return, etc.
"
Human Resources,Employment Agreement Process,HRS-07,"Employees sign the employee agreement prior to being granted access
to organizational information systems, resources and assets.
","1. Verify that the organization has defined formats and templates of employment agreements.
2. Verify, if more than one Agreement is used, that they are mapped to appropriate roles and job descriptions.
3. Examine the policy and procedures that mandate the signing of such Agreement before access is granted.
"
Human Resources,Employment Agreement Content,HRS-08,"The organization includes within the employment agreements provisions
and/or terms for adherence to established information governance and security
policies.
","1. Verify that the organization has defined formats and templates of Employment Agreements.
2. Verify that the Agreements include references to the organization's Information Security Management System (ISMS), and that they mandate compliance.
"
Human Resources,Personnel Roles and Responsibilities,HRS-09,"Document and communicate roles and responsibilities of employees,
as they relate to information assets and security.
","1. Verify that organization charts are maintained and available as appropriate.
2. Verify that the Role or Job Descriptions refer to the appropriate ISMS requirements.
3. Verify, by Interviews or otherwise, that employees and stakeholders are aware of the roles or job descriptions, and that these are reviewed.
"
Human Resources,Non-Disclosure Agreements,HRS-10,"Identify, document, and review, at planned intervals, requirements
for non-disclosure/confidentiality agreements reflecting the organization's
needs for the protection of data and operational details.
","1. Examine if the organization has identified its requirements for non-disclosure and confidentiality.
2. Determine the planned interval for review.
3. Verify that the requirements are reviewed at such planned intervals.
"
Human Resources,Security Awareness Training,HRS-11,"Establish, document, approve, communicate, apply, evaluate and maintain
a security awareness training program for all employees of the organization
and provide regular training updates.
","1. Examine the security awareness training program for adequacy, currency, communication, and effectiveness.
2. Verify, by Interviews or otherwise, that the training program has been implemented.
3. Verify that the scope of the training program extends to all employees.
4. Examine policy and procedures for evidence of review.
"
Human Resources,Personal and Sensitive Data Awareness and Training,HRS-12,"Provide all employees with access to sensitive organizational and
personal data with appropriate security awareness training and regular updates
in organizational procedures, processes, and policies relating to their professional
function relative to the organization.
","1. Examine the security awareness training program for adequacy, currency, communication, and  effectiveness.
2. Verify that a definition of sensitive organizational and personal data exists, and is implemented.
3. Verify, by Interviews or otherwise, that the training program has been implemented.
4. Verify that the scope of the training program extends to all employees with access to such data.
5. Examine policy and procedures for evidence of review.
"
Human Resources,Compliance User Responsibility,HRS-13,"Make employees aware of their roles and responsibilities for maintaining
awareness and compliance with established policies and procedures and applicable
legal, statutory, or regulatory compliance obligations.
","1. Examine the process for selection of applicable legal, statutory, or regulatory compliance obligations, and for review of its output.
2. Verify, by Interviews or otherwise, that employees are aware of their roles and responsibilities with respect to such obligations.
"
Identity & Access Management,Identity and Access Management Policy and Procedures,IAM-01,"Establish, document, approve, communicate, implement, apply, evaluate
and maintain policies and procedures for identity and access management. Review
and update the policies and procedures at least annually.
","1. Examine policy and/or procedures related to identity and access management to determine if policy and/or procedure content:
  a. addresses the provisioning, modification and deprovisioning of logical access.
  b. establishes password complexity and management requirements.
  c. addresses authorization concept following separation of duties and least privilege.
  d. addresses privileged access management and access reviews.
  e. includes roles and responsibilities for provisioning, modifying and deprovisioning of logical access.
  f. understands the delineation of identity and access management control responsibility in relation to the shared responsibility model.
2. Determine if the policy is clearly communicated and available to stakeholders.
3. Examine if policy and procedures are reviewed and updated at least annually.
"
Identity & Access Management,Strong Password Policy and Procedures,IAM-02,"Establish, document, approve, communicate, implement, apply, evaluate
and maintain strong password policies and procedures. Review and update the
policies and procedures at least annually.
","1. Examine policy and/or procedures related to passwords to determine if minimum password complexity requirements are defined.
2. Determine if the organization enforces minimum password complexity requirements as defined in policy.
3. Examine policy and procedures for evidence of review at least annually.
"
Identity & Access Management,Identity Inventory,IAM-03,"Manage, store, and review the information of system identities, and
level of access.
","1. Determine if the organization has defined acceptable storage methods and locations of system identities.
2. Evaluate if the organization is consistently utilizing approved methods and locations to store system identities.
3. Evaluate if access to stored identities is managed following established processes.
"
Identity & Access Management,Separation of Duties,IAM-04,"Employ the separation of duties principle when implementing information
system access.
","1. Determine if divisions of responsibility and separation of duties are defined and documented.
2. Determine if information system access authorizations are established to support separation of duties.
"
Identity & Access Management,Least Privilege,IAM-05,"Employ the least privilege principle when implementing information
system access.
","1.Examine the policy to determine the least privilege required for each role or user.
2.Evaluate the effectiveness of the implementation and review of policy.
"
Identity & Access Management,User Access Provisioning,IAM-06,"Define and implement a user access provisioning process which authorizes,
records, and communicates access changes to data and assets.
","1. Determine if personnel required to approve system access requests are identified and documented.
2. Evaluate if access requests are documented and approved by required personnel prior to access provisioning.
"
Identity & Access Management,User Access Changes and Revocation,IAM-07,"De-provision or respectively modify access of movers / leavers or
system identity changes in a timely manner in order to effectively adopt and
communicate identity and access management policies.
","1. Determine if a process is established for removing logical access when users leave the organization or when access is no longer appropriate.
2. Determine if a timeframe for access removal and access modification is defined.
3. Verify that a process is established for removing existing system access and assigning appropriate access or for modifying existing access after internal transfer or change of job functions.
4. Determine if established processes for access removal and modification, within the defined time frame, are followed in practice.
"
Identity & Access Management,User Access Review,IAM-08,"Review and revalidate user access for least privilege and separation
of duties with a frequency that is commensurate with organizational risk tolerance.
","1. Determine if the required frequency for review of accounts is established.
2. Determine if accounts are reviewed for compliance, including the level of access and conflicting access, following the principle of least privilege and consideration of separation of duties.
3. Determine if accounts are reviewed at the organization-defined frequency.
"
Identity & Access Management,Segregation of Privileged Access Roles,IAM-09,"Define, implement and evaluate processes, procedures and technical
measures for the segregation of privileged access roles such that administrative
access to data, encryption and key management capabilities and logging capabilities
are distinct and separated.
","1. Determine if processes, procedures and technical measures for the separation of privileged access are defined and include requirements for separation of administrative access to data, encryption, key management and logging capabilities.
2. Evaluate if established processes, procedures and technical measures for the separation of privileged access are implemented and followed in practice.
"
Identity & Access Management,Management of Privileged Access Roles,IAM-10,"Define and implement an access process to ensure privileged access
roles and rights are granted for a time limited period, and implement procedures
to prevent the culmination of segregated privileged access.
","1. Determine if an access process, that includes requirements for limiting the time period of privileged access roles and rights, is defined.
2. Determine if procedures address the prevention of culmination of segregated privileged access.
3. Evaluate if an access process, that includes requirements for limiting the time period of privileged access roles and rights, is implemented and consistently followed in practice.
4. Evaluate if procedures that address the prevention of culmination of segregated privileged access is implemented and consistently followed in practice.
"
Identity & Access Management,CSCs Approval for Agreed Privileged Access Roles,IAM-11,"Define, implement and evaluate processes and procedures for customers
to participate, where applicable, in the granting of access for agreed, high
risk (as defined by the organizational risk assessment) privileged access roles.
","1. Determine if processes and procedures for customers to participate, where applicable, in the granting of access for agreed, high risk (as defined by the organizational risk assessment) privileged access roles are defined, implemented and consistently followed in practice.
"
