sp800_53b_ctrl_id,sp800_53b_ctrl_domain,sp800_53b_ctrl_title,sp800_53b_ctrl_withdrawn,sp800_53b_baseline_privacy,sp800_53b_security_baseline_low,sp800_53b_security_baseline_moderate,sp800_53b_security_baseline_high
CP-2(6),Contingency Planning,Contingency Plan | Alternate Processing and Storage Sites,,,,,
CP-2(7),Contingency Planning,Contingency Plan | Coordinate with External Service Providers,,,,,
CP-2(8),Contingency Planning,Contingency Plan | Identify Critical Assets,,,,x,x
CP-3,Contingency Planning,Contingency Training,,,x,x,x
CP-3(1),Contingency Planning,Contingency Training | Simulated Events,,,,,x
CP-3(2),Contingency Planning,Contingency Training | Mechanisms Used in Training Environments,,,,,
CP-4,Contingency Planning,Contingency Plan Testing,,,x,x,x
CP-4(1),Contingency Planning,Contingency Plan Testing | Coordinate with Related Plans,,,,x,x
CP-4(2),Contingency Planning,Contingency Plan Testing | Alternate Processing Site,,,,,x
CP-4(3),Contingency Planning,Contingency Plan Testing | Automated Testing,,,,,
CP-4(4),Contingency Planning,Contingency Plan Testing | Full Recovery and Reconstitution,,,,,
CP-4(5),Contingency Planning,Contingency Plan Testing | Self-challenge,,,,,
CP-5,Contingency Planning,Contingency Plan Update,W: Incorporated into CP-2.,,,,
CP-6,Contingency Planning,Alternate Storage Site,,,,x,x
CP-6(1),Contingency Planning,Alternate Storage Site | Separation from Primary Site,,,,x,x
CP-6(2),Contingency Planning,Alternate Storage Site | Recovery Time and Recovery Point Objectives,,,,,x
CP-6(3),Contingency Planning,Alternate Storage Site | Accessibility,,,,x,x
CP-7,Contingency Planning,Alternate Processing Site,,,,x,x
CP-7(1),Contingency Planning,Alternate Processing Site | Separation from Primary Site,,,,x,x
CP-7(2),Contingency Planning,Alternate Processing Site | Accessibility,,,,x,x
CP-7(3),Contingency Planning,Alternate Processing Site | Priority of Service,,,,x,x
CP-7(4),Contingency Planning,Alternate Processing Site | Preparation for Use,,,,,x
CP-7(5),Contingency Planning,Alternate Processing Site | Equivalent Information Security Safeguards,W: Incorporated into CP-7.,,,,
CP-7(6),Contingency Planning,Alternate Processing Site | Inability to Return to Primary Site,,,,,
CP-8,Contingency Planning,Telecommunications Services,,,,x,x
CP-8(1),Contingency Planning,Telecommunications Services | Priority of Service Provisions,,,,x,x
CP-8(2),Contingency Planning,Telecommunications Services | Single Points of Failure,,,,x,x
CP-8(3),Contingency Planning,Telecommunications Services | Separation of Primary and Alternate Providers,,,,,x
CP-8(4),Contingency Planning,Telecommunications Services | Provider Contingency Plan,,,,,x
CP-8(5),Contingency Planning,Telecommunications Services | Alternate Telecommunication Service Testing,,,,,
CP-9,Contingency Planning,System Backup,,,x,x,x
CP-9(1),Contingency Planning,System Backup | Testing for Reliability and Integrity,,,,x,x
CP-9(2),Contingency Planning,System Backup | Test Restoration Using Sampling,,,,,x
CP-9(3),Contingency Planning,System Backup | Separate Storage for Critical Information,,,,,x
CP-9(4),Contingency Planning,System Backup | Protection from Unauthorized Modification,W: Incorporated into CP-9.,,,,
CP-9(5),Contingency Planning,System Backup | Transfer to Alternate Storage Site,,,,,x
CP-9(6),Contingency Planning,System Backup | Redundant Secondary System,,,,,
CP-9(7),Contingency Planning,System Backup | Dual Authorization,,,,,
CP-9(8),Contingency Planning,System Backup | Cryptographic Protection,,,,x,x
CP-10,Contingency Planning,System Recovery and Reconstitution,,,x,x,x
CP-10(1),Contingency Planning,System Recovery and Reconstitution | Contingency Plan Testing,W: Incorporated into CP-4.,,,,
CP-10(2),Contingency Planning,System Recovery and Reconstitution | Transaction Recovery,,,,x,x
CP-10(3),Contingency Planning,System Recovery and Reconstitution | Compensating Security Controls,W: Addressed through tailoring.,,,,
CP-10(4),Contingency Planning,System Recovery and Reconstitution | Restore Within Time Period,,,,,x
CP-10(5),Contingency Planning,System Recovery and Reconstitution | Failover Capability,W: Incorporated into SI-13.,,,,
CP-10(6),Contingency Planning,System Recovery and Reconstitution | Component Protection,,,,,
CP-11,Contingency Planning,Alternate Communications Protocols,,,,,
CP-12,Contingency Planning,Safe Mode,,,,,
CP-13,Contingency Planning,Alternative Security Mechanisms,,,,,
IA-1,Identification and Authorization,Policy and Procedures,,,x,x,x
IA-2,Identification and Authorization,Identification and Authentication (organizational Users),,,x,x,x
IA-2(1),Identification and Authorization,Identification and Authentication (organizational Users) | Multi-factor Authentication to Privileged Accounts,,,x,x,x
IA-2(2),Identification and Authorization,Identification and Authentication (organizational Users) | Multi-factor Authentication to Non-privileged Accounts,,,x,x,x
IA-2(3),Identification and Authorization,Identification and Authentication (organizational Users) | Local Access to Privileged Accounts,W: Incorporated into IA-2(1)(2).,,,,
IA-2(4),Identification and Authorization,Identification and Authentication (organizational Users) | Local Access to Non-privileged Accounts,W: Incorporated into IA-2(1)(2).,,,,
IA-2(5),Identification and Authorization,Identification and Authentication (organizational Users) | Individual Authentication with Group Authentication,,,,,x
IA-2(6),Identification and Authorization,Identification and Authentication (organizational Users) | Access to Accounts — Separate Device,,,,,
IA-2(7),Identification and Authorization,Identification and Authentication (organizational Users) | Access to Non-privileged Accounts — Separate Device,W: Incorporated into IA-2(6).,,,,
IA-2(8),Identification and Authorization,Identification and Authentication (organizational Users) | Access to Accounts — Replay Resistant,,,x,x,x
IA-2(9),Identification and Authorization,Identification and Authentication (organizational Users) | Network Access to Non-privileged Accounts — Replay Resistant,W: Incorporated into IA-2(8).,,,,
IA-2(10),Identification and Authorization,Identification and Authentication (organizational Users) | Single Sign-on,,,,,
IA-2(11),Identification and Authorization,Identification and Authentication (organizational Users) | Remote Access — Separate Device,W: Incorporated into IA-2(6).,,,,
IA-2(12),Identification and Authorization,Identification and Authentication (organizational Users) | Acceptance of PIV Credentials,,,x,x,x
IA-2(13),Identification and Authorization,Identification and Authentication (organizational Users) | Out-of-band Authentication,,,,,
IA-3,Identification and Authorization,Device Identification and Authentication,,,,x,x
IA-3(1),Identification and Authorization,Device Identification and Authentication | Cryptographic Bidirectional Authentication,,,,,
IA-3(2),Identification and Authorization,Device Identification and Authentication | Cryptographic Bidirectional Network Authentication,W: Incorporated into IA-3(1).,,,,
IA-3(3),Identification and Authorization,Device Identification and Authentication | Dynamic Address Allocation,,,,,
IA-3(4),Identification and Authorization,Device Identification and Authentication | Device Attestation,,,,,
IA-4,Identification and Authorization,Identifier Management,,,x,x,x
IA-4(1),Identification and Authorization,Identifier Management | Prohibit Account Identifiers as Public Identifiers,,,,,
IA-4(2),Identification and Authorization,Identifier Management | Supervisor Authorization,W: Incorporated into IA-12(1).,,,,
IA-4(3),Identification and Authorization,Identifier Management | Multiple Forms of Certification,W: Incorporated into IA-12(2),,,,
IA-4(4),Identification and Authorization,Identifier Management | Identify User Status,,,,x,x
IA-4(5),Identification and Authorization,Identifier Management | Dynamic Management,,,,,
IA-4(6),Identification and Authorization,Identifier Management | Cross-organization Management,,,,,
IA-4(7),Identification and Authorization,Identifier Management | In-person Registration,W: Incorporated into IA-12(4),,,,
IA-4(8),Identification and Authorization,Identifier Management | Pairwise Pseudonymous Identifiers,,,,,
IA-4(9),Identification and Authorization,Identifier Management | Attribute Maintenance and Protection,,,,,
IA-5,Identification and Authorization,Authenticator Management,,,x,x,x
IA-5(1),Identification and Authorization,Authenticator Management | Password-based Authentication,,,x,x,x
IA-5(2),Identification and Authorization,Authenticator Management | Public Key-based Authentication,,,,x,x
IA-5(3),Identification and Authorization,Authenticator Management | In-person or Trusted External Party Registration,W: Incorporated into IA-12(4),,,,
IA-5(4),Identification and Authorization,Authenticator Management | Automated Support for Password Strength Determination,W: Incorporated into IA-5(1).,,,,
IA-5(5),Identification and Authorization,Authenticator Management | Change Authenticators Prior to Delivery,,,,,
IA-5(6),Identification and Authorization,Authenticator Management | Protection of Authenticators,,,,x,x
IA-5(7),Identification and Authorization,Authenticator Management | No Embedded Unencrypted Static Authenticators,,,,,
IA-5(8),Identification and Authorization,Authenticator Management | Multiple System Accounts,,,,,
IA-5(9),Identification and Authorization,Authenticator Management | Federated Credential Management,,,,,
IA-5(10),Identification and Authorization,Authenticator Management | Dynamic Credential Binding,,,,,
IA-5(11),Identification and Authorization,Authenticator Management | Hardware Token-based Authentication,W: Incorporated into IA-2(1) and IA-2(2).,,,,
IA-5(12),Identification and Authorization,Authenticator Management | Biometric Authentication Performance,,,,,
IA-5(13),Identification and Authorization,Authenticator Management | Expiration of Cached Authenticators,,,,,
IA-5(14),Identification and Authorization,Authenticator Management | Managing Content of PKI Trust Stores,,,,,
IA-5(15),Identification and Authorization,Authenticator Management | GSA-approved Products and Services,,,,,
IA-5(16),Identification and Authorization,Authenticator Management | In-person or Trusted External Party Authenticator Issuance,,,,,
IA-5(17),Identification and Authorization,Authenticator Management | Presentation Attack Detection for Biometric Authenticators,,,,,
IA-5(18),Identification and Authorization,Authenticator Management | Password Managers,,,,,
IA-6,Identification and Authorization,Authentication Feedback,,,x,x,x
IA-7,Identification and Authorization,Cryptographic Module Authentication,,,x,x,x
IA-8,Identification and Authorization,Identification and Authentication (non-organizational Users),,,x,x,x
IA-8(1),Identification and Authorization,Identification and Authentication (non-organizational Users) | Acceptance of PIV Credentials from Other Agencies,,,x,x,x
IA-8(2),Identification and Authorization,Identification and Authentication (non-organizational Users) | Acceptance of External Authenticators,,,x,x,x
IA-8(3),Identification and Authorization,Identification and Authentication (non-organizational Users) | Use of FICAM-approved Products,W: Incorporated into IA-8(2).,,,,
IA-8(4),Identification and Authorization,Identification and Authentication (non-organizational Users) | Use of Defined Profiles,,,x,x,x
IA-8(5),Identification and Authorization,Identification and Authentication (non-organizational Users) | Acceptance of PIV-I Credentials,,,,,
IA-8(6),Identification and Authorization,Identification and Authentication (non-organizational Users) | Disassociability,,,,,
IA-9,Identification and Authorization,Service Identification and Authentication,,,,,
IA-9(1),Identification and Authorization,Service Identification and Authentication | Information Exchange,W: Incorporated into IA-9.,,,,
IA-9(2),Identification and Authorization,Service Identification and Authentication | Transmission of Decisions,W: Incorporated into IA-9.,,,,
IA-10,Identification and Authorization,Adaptive Authentication,,,,,
IA-11,Identification and Authorization,Re-authentication,,,x,x,x
IA-12,Identification and Authorization,Identity Proofing,,,,x,x
IA-12(1),Identification and Authorization,Identity Proofing | Supervisor Authorization,,,,,
IA-12(2),Identification and Authorization,Identity Proofing | Identity Evidence,,,,x,x
IA-12(3),Identification and Authorization,Identity Proofing | Identity Evidence Validation and Verification,,,,x,x
IA-12(4),Identification and Authorization,Identity Proofing | In-person Validation and Verification,,,,,x
IA-12(5),Identification and Authorization,Identity Proofing | Address Confirmation,,,,x,x
IA-12(6),Identification and Authorization,Identity Proofing | Accept Externally-proofed Identities,,,,,
IR-1,Incident Response,Policy and Procedures,,x ,x,x,x
IR-2,Incident Response,Incident Response Training,,x,x,x,x
IR-2(1),Incident Response,Incident Response Training | Simulated Events,,,,,x
IR-2(2),Incident Response,Incident Response Training | Automated Training Environments,,,,,x
IR-2(3),Incident Response,Incident Response Training | Breach,,x,,,
IR-3,Incident Response,Incident Response Testing,,x ,,x,x
IR-3(1),Incident Response,Incident Response Testing | Automated Testing,,,,,
IR-3(2),Incident Response,Incident Response Testing | Coordination with Related Plans,,,,x,x
IR-3(3),Incident Response,Incident Response Testing | Continuous Improvement,,,,,
IR-4,Incident Response,Incident Handling,,x,x,x,x
IR-4(1),Incident Response,Incident Handling | Automated Incident Handling Processes,,,,x,x
IR-4(2),Incident Response,Incident Handling | Dynamic Reconfiguration,,,,,
IR-4(3),Incident Response,Incident Handling | Continuity of Operations,,,,,
IR-4(4),Incident Response,Incident Handling | Information Correlation,,,,,x
IR-4(5),Incident Response,Incident Handling | Automatic Disabling of System,,,,,
IR-4(6),Incident Response,Incident Handling | Insider Threats,,,,,
IR-4(7),Incident Response,Incident Handling | Insider Threats — Intra-organization Coordination,,,,,
IR-4(8),Incident Response,Incident Handling | Correlation with External Organizations,,,,,
IR-4(9),Incident Response,Incident Handling | Dynamic Response Capability,,,,,
IR-4(10),Incident Response,Incident Handling | Supply Chain Coordination,,,,,
IR-4(11),Incident Response,Incident Handling | Integrated Incident Response Team,,,,,x
IR-4(12),Incident Response,Incident Handling | Malicious Code and Forensic Analysis,,,,,
IR-4(13),Incident Response,Incident Handling | Behavior Analysis,,,,,
IR-4(14),Incident Response,Incident Handling | Security Operations Center,,,,,
IR-4(15),Incident Response,Incident Handling | Public Relations and Reputation Repair,,,,,
IR-5,Incident Response,Incident Monitoring,,x,x,x,x
IR-5(1),Incident Response,"Incident Monitoring | Automated Tracking, Data Collection, and Analysis",,,,,x
IR-6,Incident Response,Incident Reporting,,x,x,x,x
IR-6(1),Incident Response,Incident Reporting | Automated Reporting,,,,x,x
IR-6(2),Incident Response,Incident Reporting | Vulnerabilities Related to Incidents,,,,,
IR-6(3),Incident Response,Incident Reporting | Supply Chain Coordination,,,,x,x
IR-7,Incident Response,Incident Response Assistance,,x ,x,x,x
IR-7(1),Incident Response,Incident Response Assistance | Automation Support for Availability of Information and Support,,,,x,x
IR-7(2),Incident Response,Incident Response Assistance | Coordination with External Providers,,,,,
IR-8,Incident Response,Incident Response Plan,,x ,x,x,x
IR-8(1),Incident Response,Incident Response Plan | Breaches,,x  ,,,
IR-9,Incident Response,Information Spillage Response,,,,,
IR-9(1),Incident Response,Information Spillage Response | Responsible Personnel,W: Incorporated into IR-9,,,,
IR-9(2),Incident Response,Information Spillage Response | Training,,,,,
IR-9(3),Incident Response,Information Spillage Response | Post-spill Operations,,,,,
IR-9(4),Incident Response,Information Spillage Response | Exposure to Unauthorized Personnel,,,,,
IR-10,Incident Response,Incident Analysis,W: Moved to IR-4(11).,,,,
MA-1,Maintenance,Policy and Procedures,,,x,x,x
MA-2,Maintenance,Controlled Maintenance,,,x,x,x
MA-2(1),Maintenance,Controlled Maintenance | Record Content,W: Incorporated into MA-2.,,,,
MA-2(2),Maintenance,Controlled Maintenance | Automated Maintenance Activities,,,,,x
MA-3,Maintenance,Maintenance Tools,,,,x,x
MA-3(1),Maintenance,Maintenance Tools | Inspect Tools,,,,x,x
MA-3(2),Maintenance,Maintenance Tools | Inspect Media,,,,x,x
MA-3(3),Maintenance,Maintenance Tools | Prevent Unauthorized Removal,,,,x,x
MA-3(4),Maintenance,Maintenance Tools | Restricted Tool Use,,,,,
MA-3(5),Maintenance,Maintenance Tools | Execution with Privilege,,,,,
MA-3(6),Maintenance,Maintenance Tools | Software Updates and Patches,,,,,
MA-4,Maintenance,Nonlocal Maintenance,,,x,x,x
MA-4(1),Maintenance,Nonlocal Maintenance | Logging and Review,,,,,
MA-4(2),Maintenance,Nonlocal Maintenance | Logically separated communications paths.,W: Incorporated into MA-1 and MA-4.,,,,
MA-4(3),Maintenance,Nonlocal Maintenance | Comparable Security and Sanitization,,,,,x
MA-4(4),Maintenance,Nonlocal Maintenance | Authentication and Separation of Maintenance Sessions,,,,,
MA-4(5),Maintenance,Nonlocal Maintenance | Approvals and Notifications,,,,,
MA-4(6),Maintenance,Nonlocal Maintenance | Cryptographic Protection,,,,,
MA-4(7),Maintenance,Nonlocal Maintenance | Disconnect Verification,,,,,
MA-5,Maintenance,Maintenance Personnel,,,x,x,x
MA-5(1),Maintenance,Maintenance Personnel | Individuals Without Appropriate Access,,,,,x
MA-5(2),Maintenance,Maintenance Personnel | Security Clearances for Classified Systems,,,,,
MA-5(3),Maintenance,Maintenance Personnel | Citizenship Requirements for Classified Systems,,,,,
MA-5(4),Maintenance,Maintenance Personnel | Foreign Nationals,,,,,
MA-5(5),Maintenance,Maintenance Personnel | Non-system Maintenance,,,,,
MA-6,Maintenance,Timely Maintenance,,,,x,x
MA-6(1),Maintenance,Timely Maintenance | Preventive Maintenance,,,,,
MA-6(2),Maintenance,Timely Maintenance | Predictive Maintenance,,,,,
MA-6(3),Maintenance,Timely Maintenance | Automated Support for Predictive Maintenance,,,,,
MA-7,Maintenance,Field Maintenance,,,,,
MP-1,Media Protection,Policy and Procedures,,x ,x,x,x
MP-2,Media Protection,Media Access,,,x,x,x
MP-2(1),Media Protection,Media Access | Automated Restricted Access,W: Incorporated into MP-4(2),,,,
MP-2(2),Media Protection,Media Access | Cryptographic Protection,W: Incorporated into SC-28(1).,,,,
MP-3,Media Protection,Media Marking,,,,x,x
MP-4,Media Protection,Media Storage,,,,x,x
MP-4(1),Media Protection,Media Storage | Cryptographic Protection,W: Incorporated into SC-28(1).,,,,
MP-4(2),Media Protection,Media Storage | Automated Restricted Access,,,,,
MP-5,Media Protection,Media Transport,,,,x,x
MP-5(1),Media Protection,Media Transport | Protection Outside of Controlled Areas,W: Incorporated into MP-5.,,,,
MP-5(2),Media Protection,Media Transport | Documentation of Activities,W: Incorporated into MP-5.,,,,
MP-5(3),Media Protection,Media Transport | Custodians,,,,,
MP-5(4),Media Protection,Media Transport | Cryptographic Protection,W: Incorporated into SC-28(1).,,,,
MP-6,Media Protection,Media Sanitization,,x ,x,x,x
MP-6(1),Media Protection,"Media Sanitization | Review, Approve, Track, Document, and Verify",,,,,x
MP-6(2),Media Protection,Media Sanitization | Equipment Testing,,,,,x
MP-6(3),Media Protection,Media Sanitization | Nondestructive Techniques,,,,,x
MP-6(4),Media Protection,Media Sanitization | Controlled Unclassified Information,W: Incorporated into MP-6.,,,,
MP-6(5),Media Protection,Media Sanitization | Classified Information,W: Incorporated into MP-6.,,,,
MP-6(6),Media Protection,Media Sanitization | Media Destruction,W: Incorporated into MP-6.,,,,
MP-6(7),Media Protection,Media Sanitization | Dual Authorization,,,,,
MP-6(8),Media Protection,Media Sanitization | Remote Purging or Wiping of Information,,,,,
MP-7,Media Protection,Media Use,,,x,x,x
MP-7(1),Media Protection,Media Use | Prohibit Use Without Owner,W: Incorporated into MP-7.,,,,
MP-7(2),Media Protection,Media Use | Prohibit Use of Sanitization-resistant Media,,,,,
MP-8,Media Protection,Media Downgrading,,,,,
MP-8(1),Media Protection,Media Downgrading | Documentation of Process,,,,,
MP-8(2),Media Protection,Media Downgrading | Equipment Testing,,,,,
MP-8(3),Media Protection,Media Downgrading | Controlled Unclassified Information,,,,,
MP-8(4),Media Protection,Media Downgrading | Classified Information,,,,,
PE-1,Physical and Environmental Protection,Policy and Procedures,,,x,x,x
PE-2,Physical and Environmental Protection,Physical Access Authorizations,,,x,x,x
PE-2(1),Physical and Environmental Protection,Physical Access Authorizations | Access by Position or Role,,,,,
PE-2(2),Physical and Environmental Protection,Physical Access Authorizations | Two Forms of Identification,,,,,
PE-2(3),Physical and Environmental Protection,Physical Access Authorizations | Restrict Unescorted Access,,,,,
PE-3,Physical and Environmental Protection,Physical Access Control,,,x,x,x
PE-3(1),Physical and Environmental Protection,Physical Access Control | System Access,,,,,x
PE-3(2),Physical and Environmental Protection,Physical Access Control | Facility and Systems,,,,,
PE-3(3),Physical and Environmental Protection,Physical Access Control | Continuous Guards,,,,,
PE-3(4),Physical and Environmental Protection,Physical Access Control | Lockable Casings,,,,,
PE-3(5),Physical and Environmental Protection,Physical Access Control | Tamper Protection,,,,,
PE-3(6),Physical and Environmental Protection,Physical Access Control | Facility Penetration Testing,W: Incorporated into CA-8.,,,,
PE-3(7),Physical and Environmental Protection,Physical Access Control | Physical Barriers,,,,,
PE-3(8),Physical and Environmental Protection,Physical Access Control | Access Control Vestibules,,,,,
PE-4,Physical and Environmental Protection,Access Control for Transmission,,,,x,x
PE-5,Physical and Environmental Protection,Access Control for Output Devices,,,,x,x
PE-5(1),Physical and Environmental Protection,Access Control for Output Devices | Access to Output by Authorized Individuals,W: Incorporated into PE-5.,,,,
PE-5(2),Physical and Environmental Protection,Access Control for Output Devices | Link to Individual Identity,,,,,
PE-5(3),Physical and Environmental Protection,Access Control for Output Devices | Marking Output Devices,W: Incorporated into PE-22.,,,,
PE-6,Physical and Environmental Protection,Monitoring Physical Access,,,x,x,x
PE-6(1),Physical and Environmental Protection,Monitoring Physical Access | Intrusion Alarms and Surveillance Equipment,,,,x,x
PE-6(2),Physical and Environmental Protection,Monitoring Physical Access | Automated Intrusion Recognition and Responses,,,,,
PE-6(3),Physical and Environmental Protection,Monitoring Physical Access | Video Surveillance,,,,,
PE-6(4),Physical and Environmental Protection,Monitoring Physical Access | Monitoring Physical Access to Systems,,,,,x
PE-7,Physical and Environmental Protection,Visitor Control,W: Incorporated into PE-2 and PE-3.,,,,
PE-8,Physical and Environmental Protection,Visitor Access Records,,,x,x,x
PE-8(1),Physical and Environmental Protection,Visitor Access Records | Automated Records Maintenance and Review,,,,,x
PE-8(2),Physical and Environmental Protection,Visitor Access Records | Physical Access Records,W: Incorporated into PE-2.,,,,
PE-8(3),Physical and Environmental Protection,Visitor Access Records | Limit Personally Identifiable Information Elements,,x ,,,
PE-9,Physical and Environmental Protection,Power Equipment and Cabling,,,,x,x
PE-9(1),Physical and Environmental Protection,Power Equipment and Cabling | Redundant Cabling,,,,,
PE-9(2),Physical and Environmental Protection,Power Equipment and Cabling | Automatic Voltage Controls,,,,,
PE-10,Physical and Environmental Protection,Emergency Shutoff,,,,x,x
PE-10(1),Physical and Environmental Protection,Emergency Shutoff | Accidental and Unauthorized Activation,W: Incorporated into PE-10.,,,,
PE-11,Physical and Environmental Protection,Emergency Power,,,,x,x
PE-11(1),Physical and Environmental Protection,Emergency Power | Alternate Power Supply — Minimal Operational Capability,,,,,x
PE-11(2),Physical and Environmental Protection,Emergency Power | Alternate Power Supply — Self-contained,,,,,
PE-12,Physical and Environmental Protection,Emergency Lighting,,,x,x,x
PE-12(1),Physical and Environmental Protection,Emergency Lighting | Essential Mission and Business Functions,,,,,
PE-13,Physical and Environmental Protection,Fire Protection,,,x,x,x
PE-13(1),Physical and Environmental Protection,Fire Protection | Detection Systems – Automatic Activation and Notification,,,,x,x
PE-13(2),Physical and Environmental Protection,Fire Protection | Suppression Systems – Automatic Activation and Notification,,,,,x
PE-13(3),Physical and Environmental Protection,Fire Protection | Automatic Fire Suppression,W: Incorporated into PE-13(2),,,,
PE-13(4),Physical and Environmental Protection,Fire Protection | Inspections,,,,,
PE-14,Physical and Environmental Protection,Environmental Controls,,,x,x,x
PE-14(1),Physical and Environmental Protection,Environmental Controls | Automatic Controls,,,,,
PE-14(2),Physical and Environmental Protection,Environmental Controls | Monitoring with Alarms and Notifications,,,,,
PE-15,Physical and Environmental Protection,Water Damage Protection,,,x,x,x
PE-15(1),Physical and Environmental Protection,Water Damage Protection | Automation Support,,,,,x
PE-16,Physical and Environmental Protection,Delivery and Removal,,,x,x,x
PE-17,Physical and Environmental Protection,Alternate Work Site,,,,x,x
PE-18,Physical and Environmental Protection,Location of System Components,,,,,x
PE-18(1),Physical and Environmental Protection,Location of System Components | Facility Site,W: Moved to PE-23.,,,,
PE-19,Physical and Environmental Protection,Information Leakage,,,,,
PE-19(1),Physical and Environmental Protection,Information Leakage | National Emissions and Tempest Policies and Procedures,,,,,
PE-20,Physical and Environmental Protection,Asset Monitoring and Tracking,,,,,
PE-21,Physical and Environmental Protection,Electromagnetic Pulse Protection,,,,,
PE-22,Physical and Environmental Protection,Component Marking,,,,,
PE-23,Physical and Environmental Protection,Facility Location,,,,,
PL-1,Planning,Policy and Procedures,,x ,x,x,x
PL-2,Planning,System Security and Privacy Plans,,x ,x,x,x
PL-2(1),Planning,System Security and Privacy Plans | Concept of Operations,W: Incorporated into PL-7.,,,,
PL-2(2),Planning,System Security and Privacy Plans | Functional Architecture,W: Incorporated into PL-8.,,,,
PL-2(3),Planning,System Security and Privacy Plans | Plan and Coordinate with Other Organizational Entities,W: Incorporated into PL-2.,,,,
PL-3,Planning,System Security Plan Update,W: Incorporated into PL-2.,,,,
PL-4,Planning,Rules of Behavior,,x ,x,x,x
PL-4(1),Planning,Rules of Behavior | Social Media and External Site/application Usage Restrictions,,x ,x,x,x
PL-5,Planning,Privacy Impact Assessment,W: Incorporated into RA-8.,,,,
PL-6,Planning,Security-related Activity Planning,W: Incorporated into PL-2.,,,,
PL-7,Planning,Concept of Operations,,,,,
PL-8,Planning,Security and Privacy Architectures,,x ,,x,x
PL-8(1),Planning,Security and Privacy Architectures | Defense in Depth,,,,,
PL-8(2),Planning,Security and Privacy Architectures | Supplier Diversity,,,,,
PL-9,Planning,Central Management,,x ,,,
PL-10,Planning,Baseline Selection,,,x,x,x
PL-11,Planning,Baseline Tailoring,,,x,x,x
PM-1,Program Management,Information Security Program Plan,,,N/A - Deployed organization-wide,N/A - Deployed organization-wide,N/A - Deployed organization-wide
PM-2,Program Management,Information Security Program Leadership Role,,,N/A - Deployed organization-wide,N/A - Deployed organization-wide,N/A - Deployed organization-wide
PM-3,Program Management,Information Security and Privacy Resources,,x ,N/A - Deployed organization-wide,N/A - Deployed organization-wide,N/A - Deployed organization-wide
PM-4,Program Management,Plan of Action and Milestones Process,,x ,N/A - Deployed organization-wide,N/A - Deployed organization-wide,N/A - Deployed organization-wide
PM-5,Program Management,System Inventory,,,N/A - Deployed organization-wide,N/A - Deployed organization-wide,N/A - Deployed organization-wide
PM-5(1),Program Management,System Inventory | Inventory of Personally Identifiable Information,,x  ,N/A - Deployed organization-wide,N/A - Deployed organization-wide,N/A - Deployed organization-wide
PM-6,Program Management,Measures of Performance,,x ,N/A - Deployed organization-wide,N/A - Deployed organization-wide,N/A - Deployed organization-wide
PM-7,Program Management,Enterprise Architecture,,x ,N/A - Deployed organization-wide,N/A - Deployed organization-wide,N/A - Deployed organization-wide
PM-7(1),Program Management,Enterprise Architecture | Offloading,,,N/A - Deployed organization-wide,N/A - Deployed organization-wide,N/A - Deployed organization-wide
PM-8,Program Management,Critical Infrastructure Plan,,x ,N/A - Deployed organization-wide,N/A - Deployed organization-wide,N/A - Deployed organization-wide
PM-9,Program Management,Risk Management Strategy,,x ,N/A - Deployed organization-wide,N/A - Deployed organization-wide,N/A - Deployed organization-wide
PM-10,Program Management,Authorization Process,,x ,N/A - Deployed organization-wide,N/A - Deployed organization-wide,N/A - Deployed organization-wide
PM-11,Program Management,Mission and Business Process Definition,,x ,N/A - Deployed organization-wide,N/A - Deployed organization-wide,N/A - Deployed organization-wide
PM-12,Program Management,Insider Threat Program,,,N/A - Deployed organization-wide,N/A - Deployed organization-wide,N/A - Deployed organization-wide
PM-13,Program Management,Security and Privacy Workforce,,x ,N/A - Deployed organization-wide,N/A - Deployed organization-wide,N/A - Deployed organization-wide
PM-14,Program Management,"Testing, Training, and Monitoring",,x ,N/A - Deployed organization-wide,N/A - Deployed organization-wide,N/A - Deployed organization-wide
PM-15,Program Management,Security and Privacy Groups and Associations,,,N/A - Deployed organization-wide,N/A - Deployed organization-wide,N/A - Deployed organization-wide
PM-16,Program Management,Threat Awareness Program,,,N/A - Deployed organization-wide,N/A - Deployed organization-wide,N/A - Deployed organization-wide
PM-16(1),Program Management,Threat Awareness Program | Automated Means for Sharing Threat Intelligence,,,N/A - Deployed organization-wide,N/A - Deployed organization-wide,N/A - Deployed organization-wide
PM-17,Program Management,Protecting Controlled Unclassified Information on External Systems,,x,N/A - Deployed organization-wide,N/A - Deployed organization-wide,N/A - Deployed organization-wide
PM-18,Program Management,Privacy Program Plan,,x ,N/A - Deployed organization-wide,N/A - Deployed organization-wide,N/A - Deployed organization-wide
PM-19,Program Management,Privacy Program Leadership Role,,x ,N/A - Deployed organization-wide,N/A - Deployed organization-wide,N/A - Deployed organization-wide
PM-20,Program Management,Dissemination of Privacy Program Information,,x ,N/A - Deployed organization-wide,N/A - Deployed organization-wide,N/A - Deployed organization-wide
PM-20(1),Program Management,"Dissemination of Privacy Program Information | Privacy Policies on Websites, Applications, and Digital Services",,x ,N/A - Deployed organization-wide,N/A - Deployed organization-wide,N/A - Deployed organization-wide
PM-21,Program Management,Accounting of Disclosures,,x ,N/A - Deployed organization-wide,N/A - Deployed organization-wide,N/A - Deployed organization-wide
